Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,182,3922,149,0.00,0.00,65,0,0.00,27,0,80,0.00,390,0,0,0.00,0.00
2,197,4303,174,0.01,0.00,68,0,0.00,30,0,93,0.00,390,0,0,0.00,0.00
3,212,4684,199,0.02,0.00,72,0,0.00,33,0,107,0.00,390,0,0,0.00,0.00
4,227,5065,224,0.03,0.00,75,0,0.00,36,0,120,0.00,390,0,0,0.00,0.00
5,242,5447,249,0.04,0.00,79,0,0.00,39,0,134,0.00,390,0,0,0.00,0.00
6,257,5828,274,0.05,0.00,83,0,0.00,42,0,147,0.00,390,0,0,0.00,0.00
7,272,6210,299,0.06,0.00,87,0,0.00,45,0,161,0.00,390,0,0,0.00,0.00
8,287,6591,324,0.07,0.00,90,0,0.00,48,0,175,0.00,390,0,0,0.00,0.00
9,302,6972,349,0.08,0.00,94,0,0.00,51,0,188,0.00,390,0,0,0.00,0.00
10,317,7353,374,0.09,0.00,98,0,0.00,54,0,201,0.00,390,0,0,0.00,0.00
11,332,7735,399,0.10,0.00,101,0,0.00,57,0,215,0.00,390,0,0,0.00,0.00
12,347,8116,424,0.11,0.00,105,0,0.00,60,0,228,0.00,390,0,0,0.00,0.00
13,362,8497,449,0.12,0.00,108,0,0.00,63,0,242,0.00,390,0,0,0.00,0.00
14,377,8878,474,0.13,0.00,112,0,0.00,66,0,255,0.00,390,0,0,0.00,0.00
15,392,9259,499,0.14,0.00,116,0,0.00,69,0,269,0.00,390,0,0,0.00,0.00
