Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,198,3268,139,0.00,0.00,59,0,0,27,450,80,0.00,390,16,0,0.00,0.00
2,213,3518,161,0.03,0.00,61,0,0,30,547,93,0.00,390,17,0,0.00,0.00
3,228,3678,183,0.06,0.00,63,0,0,33,644,107,0.00,390,19,0,0.00,0.00
4,243,4018,205,0.09,0.00,65,0,0,36,741,120,0.00,390,20,0,0.00,0.00
5,258,4223,227,0.12,0.00,67,0,0,39,838,134,0.00,390,22,0,0.00,0.00
6,273,4464,249,0.15,0.00,69,0,0,42,935,147,0.00,390,23,0,0.00,0.00
7,288,4705,271,0.18,0.00,71,0,0,45,1032,161,0.00,390,25,0,0.00,0.00
8,303,4946,293,0.21,0.00,73,0,0,48,1129,174,0.00,390,26,0,0.00,0.00
9,318,5187,315,0.24,0.00,75,0,0,51,1226,188,0.00,390,28,0,0.00,0.00
10,333,5428,337,0.27,0.00,77,0,0,54,1323,201,0.00,390,29,0,0.00,0.00
11,348,5669,359,0.30,0.00,79,0,0,57,1420,214,0.00,390,30,0,0.00,0.00
12,363,5910,381,0.33,0.00,81,0,0,60,1517,228,0.00,390,32,0,0.00,0.00
13,378,6151,403,0.36,0.00,83,0,0,63,1614,241,0.00,390,33,0,0.00,0.00
14,393,6392,425,0.39,0.00,85,0,0,66,1711,255,0.00,390,35,0,0.00,0.00
15,408,6633,447,0.42,0.00,87,0,0,69,1808,268,0.00,390,36,0,0.00,0.00
