Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,190,3288,133,0.00,0.00,55,0,0.00,27,430,80,0.00,380,15,0,0.00,0.00
2,207,3548,153,0.02,0.00,57,0,0.00,30,521,93,0.00,380,16,0,0.00,0.00
3,224,3803,173,0.04,0.00,59,0,0.00,33,612,107,0.00,380,18,0,0.00,0.00
4,241,4068,193,0.06,0.00,61,0,0.00,36,703,120,0.00,380,19,0,0.00,0.00
5,259,4328,213,0.08,0.00,63,0,0.00,39,794,134,0.00,380,21,0,0.00,0.00
6,276,4588,233,0.10,0.00,65,0,0.00,42,885,147,0.00,380,22,0,0.00,0.00
7,293,4848,253,0.12,0.00,68,0,0.00,45,976,161,0.00,380,24,0,0.00,0.00
8,311,5108,273,0.14,0.00,70,0,0.00,48,1067,174,0.00,380,25,0,0.00,0.00
9,328,5368,293,0.16,0.00,72,0,0.00,51,1158,188,0.00,380,27,0,0.00,0.00
10,345,5628,313,0.18,0.00,74,0,0.00,54,1249,201,0.00,380,28,0,0.00,0.00
11,363,5888,333,0.20,0.00,76,0,0.00,57,1340,215,0.00,380,30,0,0.00,0.00
12,380,6148,353,0.22,0.00,79,0,0.00,60,1431,288,0.00,380,31,0,0.00,0.00
13,397,6408,373,0.24,0.00,81,0,0.00,63,1522,242,0.00,380,33,0,0.00,0.00
14,414,6668,393,0.26,0.00,83,0,0.00,66,1613,255,0.00,380,34,0,0.00,0.00
15,432,6928,413,0.28,0.00,85,0,0.00,69,1704,269,0.00,380,36,0,0.00,0.00
