Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,180,3673,137,0.00,0.00,57,18,0.00,15,490,80,0.00,370,17,18,0.00,0.00
2,190,3940,157,0.01,0.00,59,21,0.00,18,595,93,0.00,370,18,21,0.00,0.00
3,201,4207,177,0.02,0.00,61,24,0.00,21,704,107,0.00,370,20,24,0.00,0.00
4,212,4474,197,0.03,0.00,63,27,0.00,24,805,120,0.00,370,22,27,0.00,0.00
5,223,4741,217,0.04,0.00,65,30,0.00,27,910,134,0.00,370,24,30,0.00,0.00
6,234,5008,237,0.05,0.00,67,33,0.00,30,1015,147.3,0.00,370,25,33,0.00,0.00
7,245,5275,257,0.06,0.00,69,36,0.00,33,1120,160.8,0.00,370,27,36,0.00,0.00
8,256,5542,277,0.07,0.00,71,39,0.00,36,1225,174.3,0.00,370,29,39,0.00,0.00
9,266,5809,297,0.08,0.00,73,42,0.00,39,1330,187.8,0.00,370,31,42,0.00,0.00
10,277,6076,317,0.09,0.00,75,45,0.00,42,1435,201.3,0.00,370,32,45,0.00,0.00
11,288,6343,337,0.10,0.00,77,48,0.00,45,1540,214.8,0.00,370,34,48,0.00,0.00
12,299,6610,357,0.11,0.00,79,51,0.00,48,1645,228.3,0.00,370,36,51,0.00,0.00
13,310,6877,377,0.12,0.00,81,54,0.00,51,1750,241.8,0.00,370,38,54,0.00,0.00
14,320,7144,397,0.13,0.00,83,57,0.00,54,1855,255.3,0.00,370,40,57,0.00,0.00
15,331,7411,417,0.14,0.00,85,60,0.00,57,1960,268.8,0.00,370,41,60,0.00,0.00
