Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,170,3500,140,0.00,0.00,66,0,0.00,0,420,80,0.00,360,15,0,0.00,0.13
2,180,3851,165,0.01,0.00,70,0,0.00,0,511,93,0.00,360,16,0,0.00,0.13
3,190,4186,190,0.02,0.00,74,0,0.00,0,602,107,0.00,360,18,0,0.00,0.13
4,200,4521,215,0.03,0.00,79,0,0.00,0,693,120,0.00,360,19,0,0.00,0.13
5,210,4856,240,0.04,0.00,83,0,0.00,0,784,134,0.00,360,21,0,0.00,0.13
6,220,5191,265,0.05,0.00,88,0,0.00,0,875,147,0.00,360,22,0,0.00,0.13
7,230,5526,290,0.06,0.00,93,0,0.00,0,966,160,0.00,360,24,0,0.00,0.13
8,240,5861,315,0.07,0.00,98,0,0.00,0,1057,173,0.00,360,25,0,0.00,0.13
9,250,6196,340,0.08,0.00,103,0,0.00,0,1148,186,0.00,360,27,0,0.00,0.13
10,260,6531,365,0.09,0.00,108,0,0.00,0,1239,199,0.00,360,28,0,0.00,0.13
11,270,6866,390,0.10,0.00,113,0,0.00,0,1330,212,0.00,360,30,0,0.00,0.13
12,280,7201,415,0.11,0.00,118,0,0.00,0,1421,225,0.00,360,31,0,0.00,0.13
13,290,7536,440,0.12,0.00,123,0,0.00,0,1512,238,0.00,360,33,0,0.00,0.13
14,300,7871,465,0.13,0.00,128,0,0.00,0,1603,251,0.00,360,35,0,0.00,0.13
15,310,8206,490,0.14,0.00,133,0,0.00,0,1694,264,0.00,360,36,0,0.00,0.13
