Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,168,3720,146,0.00,0.00,61,0,0.00,0,0,80,0.00,390,0,0,0.00,0.00
2,179,4055,171,0.03,0.00,64,0,0.00,0,0,93,0.00,390,0,0,0.00,0.00
3,191,4390,197,0.06,0.00,67,0,0.00,0,0,107,0.00,390,0,0,0.00,0.00
4,202,4726,222,0.09,0.00,70,0,0.00,0,0,120,0.00,390,0,0,0.00,0.00
5,214,5061,248,0.12,0.00,73,0,0.00,0,0,134,0.00,390,0,0,0.00,0.00
6,226,5397,274,0.15,0.00,76,0,0.00,0,0,148,0.00,390,0,0,0.00,0.00
7,237,5732,299,0.18,0.00,79,0,0.00,0,0,161,0.00,390,0,0,0.00,0.00
8,249,6067,325,0.21,0.00,82,0,0.00,0,0,175,0.00,390,0,0,0.00,0.00
9,260,6403,350,0.24,0.00,85,0,0.00,0,0,188,0.00,390,0,0,0.00,0.00
10,272,6738,376,0.27,0.00,88,0,0.00,0,0,202,0.00,390,0,0,0.00,0.00
11,283,7073,401,0.30,0.00,91,0,0.00,0,0,215,0.00,390,0,0,0.00,0.00
12,295,7409,427,0.33,0.00,94,0,0.00,0,0,229,0.00,390,0,0,0.00,0.00
13,306,7744,452,0.36,0.00,97,0,0.00,0,0,242,0.00,390,0,0,0.00,0.00
14,318,8079,478,0.39,0.00,100,0,0.00,0,0,256,0.00,390,0,0,0.00,0.00
15,329,8415,504,0.42,0.00,103,0,0.00,0,0,269,0.00,390,0,0,0.00,0.00
