Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,171,3650,163,0.00,0.00,66,0,0.00,0,430,80,0.00,380,15,0,0.00,0.13
2,182,4030,186,0.01,0.00,70,0,0.00,0,525,93,0.00,380,16,0,0.00,0.13
3,194,4410,210,0.02,0.00,75,0,0.00,0,620,107,0.00,380,18,0,0.00,0.13
4,205,4790,234,0.03,0.00,79,0,0.00,0,715,120,0.00,380,19,0,0.00,0.13
5,217,5170,257,0.04,0.00,84,0,0.00,0,810,134,0.00,380,21,0,0.00,0.13
6,228,5550,281,0.05,0.00,88,0,0.00,0,905,147,0.00,380,23,0,0.00,0.13
7,240,5930,305,0.06,0.00,93,0,0.00,0,1000,161,0.00,380,24,0,0.00,0.13
8,251,6310,328,0.07,0.00,97,0,0.00,0,1095,174,0.00,380,26,0,0.00,0.13
9,263,6690,352,0.08,0.00,102,0,0.00,0,1190,188,0.00,380,28,0,0.00,0.13
10,274,7070,376,0.09,0.00,106,0,0.00,0,1285,201,0.00,380,29,0,0.00,0.13
11,286,7450,400,0.10,0.00,111,0,0.00,0,1380,215,0.00,380,31,0,0.00,0.13
12,297,7830,423,0.11,0.00,116,0,0.00,0,1475,228,0.00,380,33,0,0.00,0.13
13,309,8210,447,0.12,0.00,120,0,0.00,0,1570,242,0.00,380,34,0,0.00,0.13
14,320,8590,471,0.13,0.00,125,0,0.00,0,1665,255,0.00,380,36,0,0.00,0.13
15,332,8970,494,0.14,0.00,129,0,0.00,0,1760,269,0.00,380,37,0,0.00,0.13
