Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,178,3308,152,0.00,0.00,52,18,0.00,15,490,80,0.00,400,18,18,0.00,0.00
2,190,3547,172,0.01,0.00,53,21,0.00,18,598,93,0.00,400,19,21,0.00,0.00
3,203,3786,192,0.02,0.00,55,24,0.00,21,706,107,0.00,400,21,24,0.00,0.00
4,216,4026,213,0.03,0.00,57,27,0.00,24,814,120,0.00,400,23,27,0.00,0.00
5,228,4265,233,0.04,0.00,59,30,0.00,27,922,134,0.00,400,25,30,0.00,0.00
6,241,4505,254,0.05,0.00,61,33,0.00,30,1030,147,0.00,400,27,33,0.00,0.00
7,254,4744,274,0.06,0.00,63,36,0.00,33,1138,160,0.00,400,29,36,0.00,0.00
8,266,4983,294,0.07,0.00,65,39,0.00,36,1246,174,0.00,400,31,39,0.00,0.00
9,279,5223,315,0.08,0.00,66,42,0.00,39,1354,187,0.00,400,32,42,0.00,0.00
10,292,5462,335,0.09,0.00,68,45,0.00,42,1462,201,0.00,400,34,45,0.00,0.00
11,304,5701,355,0.10,0.00,70,48,0.00,45,1570,214,0.00,400,36,48,0.00,0.00
12,317,5941,376,0.11,0.00,72,51,0.00,48,1678,228,0.00,400,38,51,0.00,0.00
13,329,6180,396,0.12,0.00,74,54,0.00,51,1786,241,0.00,400,40,54,0.00,0.00
14,342,6419,416,0.13,0.00,75,57,0.00,54,1894,255,0.00,400,41,57,0.00,0.00
15,355,6658,436,0.14,0.00,77,60,0.00,57,2002,268,0.00,400,43,60,0.00,0.00
