Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,197,3563,141,0.00,0.00,61,0,0.00,39,420,80,0.00,380,15,0,0.00,0.00
2,212,3908,167,0.02,0.00,64,0,0.00,42,511,93,0.00,380,16,0,0.00,0.00
3,227,4254,193,0.04,0.00,67,0,0.00,45,602,107,0.00,380,18,0,0.00,0.00
4,242,4599,220,0.06,0.00,71,0,0.00,48,693,120,0.00,380,19,0,0.00,0.00
5,257,4945,246,0.08,0.00,74,0,0.00,51,784,134,0.00,380,21,0,0.00,0.00
6,272,5290,273,0.10,0.00,78,0,0.00,54,875,147,0.00,380,22,0,0.00,0.00
7,287,5636,299,0.12,0.00,81,0,0.00,57,966,161,0.00,380,24,0,0.00,0.00
8,302,5981,325,0.14,0.00,84,0,0.00,60,1057,174,0.00,380,25,0,0.00,0.00
9,317,6327,352,0.16,0.00,88,0,0.00,63,1148,188,0.00,380,27,0,0.00,0.00
10,332,6672,378,0.18,0.00,91,0,0.00,66,1239,201,0.00,380,28,0,0.00,0.00
11,347,7017,404,0.20,0.00,94,0,0.00,69,1330,214,0.00,380,29,0,0.00,0.00
12,362,7363,431,0.22,0.00,98,0,0.00,72,1421,228,0.00,380,31,0,0.00,0.00
13,377,7708,457,0.24,0.00,101,0,0.00,75,1512,241,0.00,380,32,0,0.00,0.00
14,392,8054,483,0.26,0.00,104,0,0.00,78,1603,255,0.00,380,34,0,0.00,0.00
15,407,8399,509,0.28,0.00,107,0,0.00,81,1694,268,0.00,380,35,0,0.00,0.00
