Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,195,3619,135,0.00,0.00,60,0,0.00,27,0,80,0.00,380,0,0,0.00,0.00
2,214,3876,157,0.02,0.00,62,0,0.00,30,0,93,0.00,380,0,0,0.00,0.00
3,234,4134,179,0.04,0.00,64,0,0.00,33,0,107,0.00,380,0,0,0.00,0.00
4,254,4392,201,0.06,0.00,66,0,0.00,36,0,120,0.00,380,0,0,0.00,0.00
5,274,4650,223,0.08,0.00,68,0,0.00,39,0,134,0.00,380,0,0,0.00,0.00
6,294,4908,245,0.10,0.00,70,0,0.00,42,0,148,0.00,380,0,0,0.00,0.00
7,314,5166,267,0.12,0.00,72,0,0.00,45,0,161,0.00,380,0,0,0.00,0.00
8,334,5424,289,0.14,0.00,74,0,0.00,48,0,175,0.00,380,0,0,0.00,0.00
9,353,5681,311,0.16,0.00,76,0,0.00,51,0,188,0.00,380,0,0,0.00,0.00
10,373,5939,333,0.18,0.00,78,0,0.00,54,0,202,0.00,380,0,0,0.00,0.00
11,393,6197,355,0.20,0.00,80,0,0.00,57,0,215,0.00,380,0,0,0.00,0.00
12,413,6455,377,0.22,0.00,82,0,0.00,60,0,229,0.00,380,0,0,0.00,0.00
13,433,6713,399,0.24,0.00,84,0,0.00,63,0,242,0.00,380,0,0,0.00,0.00
14,452,6970,421,0.26,0.00,86,0,0.00,66,0,256,0.00,380,0,0,0.00,0.00
15,472,7228,443,0.28,0.00,88,0,0.00,69,0,269,0.00,380,0,0,0.00,0.00
