Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,178,3585,141,0.00,0.00,56,0,0.00,12,0,80,0.00,390,0,0,0.00,0.00
2,186,3848,164,0.01,0.00,58,0,0.00,12,0,93,0.00,390,0,0,0.00,0.00
3,195,4112,187,0.02,0.00,60,0,0.00,12,0,107,0.00,390,0,0,0.00,0.00
4,204,4375,210,0.03,0.00,62,0,0.00,12,0,120,0.00,390,0,0,0.00,0.00
5,213,4639,233,0.04,0.00,64,0,0.00,12,0,134,0.00,390,0,0,0.00,0.00
6,222,4902,256,0.05,0.00,66,0,0.00,12,0,148,0.00,390,0,0,0.00,0.00
7,231,5165,279,0.06,0.00,68,0,0.00,12,0,161,0.00,390,0,0,0.00,0.00
8,240,5429,302,0.07,0.00,70,0,0.00,12,0,175,0.00,390,0,0,0.00,0.00
9,248,5692,325,0.08,0.00,72,0,0.00,12,0,188,0.00,390,0,0,0.00,0.00
10,257,5956,348,0.09,0.00,74,0,0.00,12,0,202,0.00,390,0,0,0.00,0.00
11,266,6219,371,0.10,0.00,76,0,0.00,12,0,215,0.00,390,0,0,0.00,0.00
12,275,6483,394,0.11,0.00,78,0,0.00,12,0,229,0.00,390,0,0,0.00,0.00
13,284,6746,417,0.12,0.00,80,0,0.00,12,0,242,0.00,390,0,0,0.00,0.00
14,292,7010,440,0.13,0.00,82,0,0.00,12,0,256,0.00,390,0,0,0.00,0.00
15,301,7273,463,0.14,0.00,84,0,0.00,12,0,269,0.00,390,0,0,0.00,0.00
