Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,178,3765,142,0.00,0.00,60,0,0.00,12,0,80,0.00,380,0,0,0.00,0.00
2,192,4092,166,0.02,0.00,62,0,0.00,12,0,93,0.00,380,0,0,0.00,0.00
3,207,4420,190,0.04,0.00,65,0,0.00,12,0,107,0.00,380,0,0,0.00,0.00
4,222,4747,214,0.06,0.00,68,0,0.00,12,0,120,0.00,380,0,0,0.00,0.00
5,237,5075,239,0.08,0.00,71,0,0.00,12,0,134,0.00,380,0,0,0.00,0.00
6,252,5402,262.8,0.10,0.00,73,0,0.00,12,0,147,0.00,380,0,0,0.00,0.00
7,267,5730,287,0.12,0.00,76,0,0.00,12,0,160,0.00,380,0,0,0.00,0.00
8,282,6057,311.2,0.14,0.00,79,0,0.00,12,0,174,0.00,380,0,0,0.00,0.00
9,296,6384,335.4,0.16,0.00,82,0,0.00,12,0,187,0.00,380,0,0,0.00,0.00
10,311,6712,359.6,0.18,0.00,84,0,0.00,12,0,201,0.00,380,0,0,0.00,0.00
11,326,7039,383.8,0.20,0.00,87,0,0.00,12,0,214,0.00,380,0,0,0.00,0.00
12,341,7367,408,0.22,0.00,90,0,0.00,12,0,228,0.00,380,0,0,0.00,0.00
13,356,7694,432.2,0.24,0.00,93,0,0.00,12,0,241,0.00,380,0,0,0.00,0.00
14,370,5731,456.4,0.26,0.00,96,0,0.00,12,0,255,0.00,380,0,0,0.00,0.00
15,385,8349,480.6,0.28,0.00,98,0,0.00,12,0,268,0.00,380,0,0,0.00,0.00
