Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,160,3555,130,0.00,0.00,60,18,0.00,0,430,80,0.00,400,15,18,0.00,0.00
2,168,3877,150,0.01,0.00,62,21,0.00,0,525,93,0.00,400,16,21,0.00,0.00
3,177,4199,170,0.02,0.00,65,24,0.00,0,620,107,0.00,400,18,24,0.00,0.00
4,186,4521,190,0.03,0.00,68,27,0.00,0,715,120,0.00,400,19,27,0.00,0.00
5,195,4843,210,0.04,0.00,69,30,0.00,0,810,134,0.00,400,22,30,0.00,0.00
6,204,5165,230,0.05,0.00,72,33,0.00,0,905,147,0.00,400,23,33,0.00,0.00
7,213,5487,250,0.06,0.00,74.4,36,0.00,0,1000,160,0.00,400,24,36,0.00,0.00
8,222,5809,270,0.07,0.00,76.8,39,0.00,0,1095,174,0.00,400,26,39,0.00,0.00
9,230,6131,290,0.08,0.00,79.2,42,0.00,0,1190,187,0.00,400,28,42,0.00,0.00
10,239,6453,310,0.09,0.00,81.6,45,0.00,0,1285,201,0.00,400,29,45,0.00,0.00
11,248,6775,330,0.10,0.00,84,48,0.00,0,1380,214,0.00,400,31,48,0.00,0.00
12,257,7097,350,0.11,0.00,86.4,51,0.00,0,1475,228,0.00,400,33,51,0.00,0.00
13,266,7419,370,0.12,0.00,88.8,54,0.00,0,1570,241,0.00,400,35,54,0.00,0.00
14,274,7741,390,0.13,0.00,91.2,57,0.00,0,1665,255,0.00,400,36,57,0.00,0.00
15,283,8063,410,0.14,0.00,93.6,60,0.00,0,1760,268,0.00,400,38,60,0.00,0.00
