Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,181,3575,159,0.00,0.00,50,0,0.00,27,440,80,0.00,380,15,0.00,0.00,0.00
2,197,3902,181,0.03,0.00,52,0,0.00,30,533,93,0.00,380,16,0.00,0.00,0.00
3,213,4230,204,0.06,0.00,55,0,0.00,33,626,107,0.00,380,18,0.00,0.00,0.00
4,229,4557,227,0.09,0.00,58,0,0.00,36,719,120,0.00,380,19,0.00,0.00,0.00
5,246,4885,249,0.12,0.00,61,0,0.00,39,812,134,0.00,380,21,0.00,0.00,0.00
6,262,5213,272,0.15,0.00,64,0,0.00,42,905,148,0.00,380,23,0.00,0.00,0.00
7,278,5540,295,0.18,0.00,67,0,0.00,45,998,161,0.00,380,24,0.00,0.00,0.00
8,295,5868,317,0.21,0.00,70,0,0.00,48,1091,175,0.00,380,26,0.00,0.00,0.00
9,311,6195,340,0.24,0.00,72,0,0.00,51,1184,188,0.00,380,27,0.00,0.00,0.00
10,327,6523,363,0.27,0.00,75,0,0.00,54,1277,202,0.00,380,29,0.00,0.00,0.00
11,343,6850,385,0.30,0.00,78,0,0.00,57,1370,215,0.00,380,30,0.00,0.00,0.00
12,359,7178,408,0.33,0.00,81,0,0.00,60,1463,229,0.00,380,32,0.00,0.00,0.00
13,376,7505,430,0.36,0.00,84,0,0.00,63,1556,242,0.00,380,33,0.00,0.00,0.00
14,392,7833,453,0.39,0.00,86,0,0.00,66,1649,256,0.00,380,35,0.00,0.00,0.00
15,408,8160,476,0.42,0.00,89,0,0.00,69,1742,269,0.00,380,36,0.00,0.00,0.00
