Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,180,3815,145,0.00,0.00,69,18,0.00,110,460,80,0.00,380,20,18,0.00,0.00
2,196,4199,170,0.02,0.00,73,21,0.00,122,570,93,0.00,380,22,21,0.00,0.00
3,213,4583,195,0.04,0.00,78,24,0.00,135,680,107,0.00,380,24,24,0.00,0.00
4,230,4967,220,0.06,0.00,83,27,0.00,147,790,120,0.00,380,26,27,0.00,0.00
5,247,5351,245,0.08,0.00,88,30,0.00,160,900,134,0.00,380,28,30,0.00,0.00
6,264,5735,270,0.10,0.00,93,33,0.00,172,1010,147,0.00,380,30,33,0.00,0.00
7,280,6119,295,0.12,0.00,97,36,0.00,185,1120,161,0.00,380,32,36,0.00,0.00
8,297,6503,320,0.14,0.00,102,39,0.00,197,1230,174,0.00,380,34,39,0.00,0.00
9,314,6887,345,0.16,0.00,107,42,0.00,210,1340,188,0.00,380,36,42,0.00,0.00
10,330,7271,370,0.18,0.00,111,45,0.00,222,1450,201,0.00,380,38,45,0.00,0.00
11,347,7655,395,0.20,0.00,116,48,0.00,234,1560,214,0.00,380,40,48,0.00,0.00
12,364,8039,420,0.22,0.00,121,51,0.00,247,1670,228,0.00,380,42,51,0.00,0.00
13,381,8423,445,0.24,0.00,126,54,0.00,259,1780,241,0.00,380,44,54,0.00,0.00
14,397,8807,470,0.26,0.00,130,57,0.00,272,1890,255,0.00,380,46,57,0.00,0.00
15,414,9191,495,0.28,0.00,135,60,0.00,284,2000,268,0.00,380,48,60,0.00,0.00
