Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,180,3500,142,0.00,0.00,58,18,0.00,15,0,80,0.00,390,0,18,0.00,0.00
2,195,3840,166,0.01,0.00,61,21,0.00,18,0,93,0.00,390,0,21,0.00,0.00
3,210,4180,191,0.02,0.00,64,24,0.00,21,0,107,0.00,390,0,24,0.00,0.00
4,225,4520,216,0.03,0.00,67,27,0.00,24,0,120,0.00,390,0,27,0.00,0.00
5,240,4860,240,0.04,0.00,70,30,0.00,27,0,134,0.00,390,0,27,0.00,0.00
6,255,5200,265,0.05,0.00,73,33,0.00,30,0,148,0.00,390,0,31,0.00,0.00
7,270,5540,290,0.06,0.00,76,36,0.00,33,0,161,0.00,390,0,33,0.00,0.00
8,285,5880,314,0.07,0.00,79,39,0.00,36,0,175,0.00,390,0,36,0.00,0.00
9,300,6220,339,0.08,0.00,82,42,0.00,39,0,188,0.00,390,0,38,0.00,0.00
10,315,6560,364,0.09,0.00,85,45,0.00,42,0,202,0.00,390,0,41,0.00,0.00
11,330,6900,388,0.10,0.00,88,48,0.00,45,0,215,0.00,390,0,43,0.00,0.00
12,345,7240,413,0.11,0.00,91,51,0.00,48,0,229,0.00,390,0,45,0.00,0.00
13,360,7580,437,0.12,0.00,94,54,0.00,51,0,242,0.00,390,0,48,0.00,0.00
14,375,7920,462,0.13,0.00,97,57,0.00,54,0,256,0.00,390,0,50,0.00,0.00
15,390,8260,487,0.14,0.00,100,60,0.00,57,0,269,0.00,390,0,53,0.00,0.00
