Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,170,3216,118,0.00,0.00,52,0,0.00,12,470,80,0.00,360,17,0,0.00,0.00
2,179,3450,136,0.01,0.00,54,0,0.00,12,573,93,0.00,360,18,0,0.00,0.00
3,189,3684,155,0.02,0.00,56,0,0.00,12,676,107,0.00,360,20,0,0.00,0.00
4,199,3918,174,0.03,0.00,58,0,0.00,12,779,120,0.00,360,22,0,0.00,0.00
5,208,4152,193,0.04,0.00,60,0,0.00,12,882,134,0.00,360,24,0,0.00,0.00
6,218,4386,212,0.05,0.00,62,0,0.00,12,985,147,0.00,360,25,0,0.00,0.00
7,228,4620,231,0.06,0.00,64,0,0.00,12,1088,160,0.00,360,27,0,0.00,0.00
8,237,4854,250,0.07,0.00,66,0,0.00,12,1191,174,0.00,360,29,0,0.00,0.00
9,247,5088,268,0.08,0.00,68,0,0.00,12,1294,187,0.00,360,31,0,0.00,0.00
10,257,5322,287,0.09,0.00,70,0,0.00,12,1397,201,0.00,360,32,0,0.00,0.00
11,266,5556,306,0.10,0.00,72,0,0.00,12,1500,214,0.00,360,34,0,0.00,0.00
12,276,5790,325,0.11,0.00,74,0,0.00,12,1603,228,0.00,360,36,0,0.00,0.00
13,285,6024,344,0.12,0.00,76,0,0.00,12,1706,241,0.00,360,38,0,0.00,0.00
14,295,6258,362,0.13,0.00,78,0,0.00,12,1809,255,0.00,360,40,0,0.00,0.00
15,305,6492,381,0.14,0.00,80,0,0.00,12,1912,268,0.00,360,41,0,0.00,0.00
