Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,188,3535,135,0.00,0.00,61,0,0.00,27,0,80,0.00,360,0,0,0.00,0.00
2,204,3807,156,0.03,0.00,62,0,0.00,30,0,93,0.00,360,0,0,0.00,0.00
3,221,4079,177,0.06,0.00,64,0,0.00,33,0,107,0.00,360,0,0,0.00,0.00
4,238,4351,198,0.09,0.00,66,0,0.00,36,0,120,0.00,360,0,0,0.00,0.00
5,255,4623,219,0.12,0.00,68,0,0.00,39,0,134,0.00,360,0,0,0.00,0.00
6,272,4895,241,0.15,0.00,70,0,0.00,42,0,147,0.00,360,0,0,0.00,0.00
7,288,5167,262,0.18,0.00,72,0,0.00,45,0,161,0.00,360,0,0,0.00,0.00
8,305,5439,283,0.21,0.00,74,0,0.00,48,0,175,0.00,360,0,0,0.00,0.00
9,322,5711,304,0.24,0.00,76,0,0.00,51,0,188,0.00,360,0,0,0.00,0.00
10,339,5983,326,0.27,0.00,78,0,0.00,54,0,201,0.00,360,0,0,0.00,0.00
11,356,6255,347,0.30,0.00,80,0,0.00,57,0,215,0.00,360,0,0,0.00,0.00
12,372,6527,368,0.33,0.00,81,0,0.00,60,0,228,0.00,360,0,0,0.00,0.00
13,389,6799,389,0.36,0.00,83,0,0.00,63,0,242,0.00,360,0,0,0.00,0.00
14,406,7071,410,0.39,0.00,85,0,0.00,66,0,255,0.00,360,0,0,0.00,0.00
15,423,7343,431,0.42,0.00,87,0,0.00,69,0,269,0.00,360,0,0,0.00,0.00
