Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,170,4444,141,0.00,0.00,61,0,0.00,15,420,80,0.00,380,15,0,0.00,0.00
2,184,4854,163,0.03,0.00,64,0,0.00,18,511,93,0.00,380,16,0,0.00,0.00
3,198,5264,186,0.06,0.00,67,0,0.00,21,602,107,0.00,380,18,0,0.00,0.00
4,212,5674,208,0.09,0.00,71,0,0.00,24,693,120,0.00,380,19,0,0.00,0.00
5,226,6084,231,0.12,0.00,74,0,0.00,27,784,134,0.00,380,21,0,0.00,0.00
6,240,6494,253,0.15,0.00,77,0,0.00,30,875,147.3,0.00,380,22,0,0.00,0.00
7,254,6904,275,0.18,0.00,80,0,0.00,33,966,160.8,0.00,380,23,0,0.00,0.00
8,268,7314,298,0.21,0.00,83,0,0.00,36,1057,174.3,0.00,380,25,0,0.00,0.00
9,282,7724,320,0.24,0.00,87,0,0.00,39,1148,187.8,0.00,380,26,0,0.00,0.00
10,296,8134,343,0.27,0.00,90,0,0.00,42,1239,201.3,0.00,380,28,0,0.00,0.00
11,310,8544,365,0.30,0.00,93,0,0.00,45,1330,214.8,0.00,380,29,0,0.00,0.00
12,324,8954,388,0.33,0.00,97,0,0.00,48,1421,228.3,0.00,380,31,0,0.00,0.00
13,338,9364,410,0.36,0.00,100,0,0.00,51,1512,241.8,0.00,380,32,0,0.00,0.00
14,352,9774,433,0.39,0.00,103,0,0.00,54,1603,255.3,0.00,380,34,0,0.00,0.00
15,366,10184,455,0.42,0.00,107,0,0.00,57,1694,268.8,0.00,380,35,0,0.00,0.00
