Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,170,3642,135,0.00,0.00,52,18,0.00,12,440,80,0.00,360,15,18,0.00,0.00
2,186,3896,156,0.03,0.00,54,21,0.00,12,536,93,0.00,360,17,21,0.00,0.00
3,202,4150,178,0.06,0.00,56,24,0.00,12,632,107,0.00,360,19,24,0.00,0.00
4,218,4404,200,0.09,0.00,58,27,0.00,12,728,120,0.00,360,20,27,0.00,0.00
5,234,4658,222,0.12,0.00,60,30,0.00,12,824,134,0.00,360,22,30,0.00,0.00
6,250,4912,243,0.15,0.00,62,33,0.00,12,920,147,0.00,360,24,33,0.00,0.00
7,266,5166,265,0.18,0.00,64,36,0.00,12,1016,161,0.00,360,25,36,0.00,0.00
8,282,5420,287,0.21,0.00,66,39,0.00,12,1112,174,0.00,360,27,39,0.00,0.00
9,298,5674,308,0.24,0.00,68,42,0.00,12,1208,188,0.00,360,29,42,0.00,0.00
10,314,5928,330,0.27,0.00,70,45,0.00,12,1304,201,0.00,360,31,45,0.00,0.00
11,330,6182,352,0.30,0.00,72,48,0.00,12,1400,215,0.00,360,32,48,0.00,0.00
12,346,6436,373,0.33,0.00,74,51,0.00,12,1496,228,0.00,360,34,51,0.00,0.00
13,362,6690,395,0.36,0.00,76,54,0.00,12,1592,242,0.00,360,36,54,0.00,0.00
14,378,6944,417,0.39,0.00,78,57,0.00,12,1688,255,0.00,360,37,57,0.00,0.00
15,394,7198,439,0.42,0.00,80,60,0.00,12,1784,269,0.00,360,39,60,0.00,0.00
