Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,183,3377,130,0.00,0.00,46,0,0.00,27,0,80,0.00,350,0,0,0.00,0.00
2,202,3634,151,0.02,0.00,47,0,0.00,30,0,93,0.00,350,0,0,0.00,0.00
3,221,3891,172,0.04,0.00,49,0,0.00,33,0,107,0.00,350,0,0,0.00,0.00
4,240,4148,193,0.06,0.00,51,0,0.00,36,0,120,0.00,350,0,0,0.00,0.00
5,260,4406,214,0.08,0.00,53,0,0.00,39,0,134,0.00,350,0,0,0.00,0.00
6,279,4663,235,0.10,0.00,55,0,0.00,42,0,148,0.00,350,0,0,0.00,0.00
7,298,4920,256,0.12,0.00,57,0,0.00,45,0,161,0.00,350,0,0,0.00,0.00
8,318,5178,277,0.14,0.00,59,0,0.00,48,0,175,0.00,350,0,0,0.00,0.00
9,337,5435,298,0.16,0.00,60,0,0.00,51,0,188,0.00,350,0,0,0.00,0.00
10,356,5692,319,0.18,0.00,62,0,0.00,54,0,202,0.00,350,0,0,0.00,0.00
11,375,5949,340,0.20,0.00,64,0,0.00,57,0,215,0.00,350,0,0,0.00,0.00
12,394,6206,361,0.22,0.00,66,0,0.00,60,0,229,0.00,350,0,0,0.00,0.00
13,414,6464,382,0.24,0.00,68,0,0.00,63,0,242,0.00,350,0,0,0.00,0.00
14,433,6721,403,0.26,0.00,69,0,0.00,66,0,256,0.00,350,0,0,0.00,0.00
15,452,6978,424,0.28,0.00,71,0,0.00,69,0,269,0.00,350,0,0,0.00,0.00
