Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,170,3672,138,0.00,0.00,61,18,0.00,0,0,80,0.00,380,0,18,0.00,0.00
2,182,4007,161,0.01,0.00,64,21,0.00,0,0,93,0.00,380,0,21,0.00,0.00
3,194,4342,185,0.01,0.00,67,24,0.00,0,0,107,0.00,380,0,24,0.00,0.00
4,207,4678,209,0.02,0.00,70,27,0.00,0,0,120,0.00,380,0,27,0.00,0.00
5,219,5013,233,0.02,0.00,73,30,0.00,0,0,134,0.00,380,0,30,0.00,0.00
6,232,5349,257,0.03,0.00,76,33,0.00,0,0,147,0.00,380,0,33,0.00,0.00
7,244,5684,281,0.03,0.00,79,36,0.00,0,0,160,0.00,380,0,36,0.00,0.00
8,256,6019,305,0.04,0.00,82,39,0.00,0,0,174,0.00,380,0,39,0.00,0.00
9,269,6355,328,0.04,0.00,85,42,0.00,0,0,187,0.00,380,0,42,0.00,0.00
10,281,6690,352,0.05,0.00,88,45,0.00,0,0,201,0.00,380,0,45,0.00,0.00
11,294,7025,376,0.05,0.00,91,48,0.00,0,0,214,0.00,380,0,48,0.00,0.00
12,306,7361,400,0.06,0.00,94,51,0.00,0,0,228,0.00,380,0,51,0.00,0.00
13,318,7696,424,0.06,0.00,97,54,0.00,0,0,241,0.00,380,0,54,0.00,0.00
14,331,8031,447,0.07,0.00,100,57,0.00,0,0,255,0.00,380,0,57,0.00,0.00
15,343,8366,471,0.07,0.00,103,60,0.00,0,0,268,0.00,380,0,60,0.00,0.00
