Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,183,3620,146,0.00,0.00,67,0,0.00,15,0,80,0.00,380,0,0,0.00,0.00
2,195,3973,171,0.02,0.00,71,0,0.00,18,0,93,0.00,380,0,0,0.00,0.00
3,208,4326,197,0.04,0.00,75,0,0.00,21,0,107,0.00,380,0,0,0.00,0.00
4,220,4679,222,0.06,0.00,80,0,0.00,24,0,120,0.00,380,0,0,0.00,0.00
5,223,5033,248,0.08,0.00,84,0,0.00,27,0,134,0.00,380,0,0,0.00,0.00
6,246,5386,274,0.10,0.00,89,0,0.00,30,0,147,0.00,380,0,0,0.00,0.00
7,258,5739,299,0.12,0.00,93,0,0.00,33,0,161,0.00,380,0,0,0.00,0.00
8,271,6093,325,0.14,0.00,98,0,0.00,36,0,174,0.00,380,0,0,0.00,0.00
9,283,6446,350,0.16,0.00,102,0,0.00,39,0,188,0.00,380,0,0,0.00,0.00
10,296,6799,376,0.18,0.00,106,0,0.00,42,0,201,0.00,380,0,0,0.00,0.00
11,309,7153,402,0.20,0.00,111,0,0.00,45,0,215,0.00,380,0,0,0.00,0.00
12,321,7506,427,0.22,0.00,115,0,0.00,48,0,228,0.00,380,0,0,0.00,0.00
13,334,7859,453,0.24,0.00,120,0,0.00,51,0,242,0.00,380,0,0,0.00,0.00
14,346,8212,478,0.26,0.00,120,0,0.00,54,0,255,0.00,380,0,0,0.00,0.00
15,359,8566,504,0.28,0.00,129,0,0.00,57,0,269,0.00,380,0,0,0.00,0.00
