Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,154,3567,140,0.00,0.00,59,0,0.00,0,420,80,0.00,380,15,0,0.00,0.00
2,163,3874,165,0.01,0.00,61,0,0.00,0,510,93,0.00,380,16,0,0.00,0.00
3,172,4181,190,0.02,0.00,64,0,0.00,0,600,107,0.00,380,17,0,0.00,0.00
4,181,4488,215,0.03,0.00,67,0,0.00,0,690,120,0.00,380,19,0,0.00,0.00
5,191,4796,240,0.04,0.00,69,0,0.00,0,780,134,0.00,380,20,0,0.00,0.00
6,200,5103,265,0.05,0.00,72,0,0.00,0,870,147,0.00,380,22,0,0.00,0.00
7,209,5410,290,0.06,0.00,75,0,0.00,0,960,161,0.00,380,23,0,0.00,0.00
8,218,5717,315,0.07,0.00,78,0,0.00,0,1050,175,0.00,380,24,0,0.00,0.00
9,227,6024,340,0.08,0.00,80,0,0.00,0,1140,188,0.00,380,25,0,0.00,0.00
10,236,6331,365,0.09,0.00,83,0,0.00,0,1230,201,0.00,380,27,0,0.00,0.00
11,246,6639,390,0.10,0.00,86,0,0.00,0,1320,215,0.00,380,28,0,0.00,0.00
12,255,6946,415,0.11,0.00,88,0,0.00,0,1410,228,0.00,380,30,0,0.00,0.00
13,264,7253,440,0.12,0.00,91,0,0.00,0,1500,242,0.00,380,31,0,0.00,0.00
14,273,7560,465,0.13,0.00,93,0,0.00,0,1590,255,0.00,380,32,0,0.00,0.00
15,282,7867,490,0.14,0.00,96,0,0.00,0,1680,269,0.00,380,34,0,0.00,0.00
