Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,173,3588,135,0.00,0.00,44,0,0.00,0,440,80,0.00,360,15,0,0.00,0.13
2,187,3855,155,0.01,0.00,46,0,0.00,0,534,93,0.00,360,16,0,0.00,0.13
3,202,4122,175,0.03,0.00,48,0,0.00,0,628,107,0.00,360,18,0,0.00,0.13
4,217,4389,195,0.06,0.00,50,0,0.00,0,722,120,0.00,360,19,0,0.00,0.13
5,232,4656,216,0.09,0.00,52,0,0.00,0,816,134,0.00,360,21,0,0.00,0.13
6,247,4923,236,0.11,0.00,54,0,0.00,0,910,147,0.00,360,22,0,0.00,0.13
7,262,5190,256,0.13,0.00,56,0,0.00,0,1004,160,0.00,360,23,0,0.00,0.13
8,277,5457,277,0.15,0.00,58,0,0.00,0,1098,174,0.00,360,25,0,0.00,0.13
9,291,5724,297,0.18,0.00,60,0,0.00,0,1192,187,0.00,360,26,0,0.00,0.13
10,306,5991,317,0.20,0.00,62,0,0.00,0,1286,201,0.00,360,28,0,0.00,0.13
11,321,6258,337,0.22,0.00,64,0,0.00,0,1380,214,0.00,360,29,0,0.00,0.13
12,336,6525,357,0.25,0.00,66,0,0.00,0,1474,228,0.00,360,31,0,0.00,0.13
13,351,6792,378,0.27,0.00,68,0,0.00,0,1568,241,0.00,360,32,0,0.00,0.13
14,365,7059,398,0.29,0.00,70,0,0.00,0,1662,255,0.00,360,34,0,0.00,0.13
15,380,7326,418,0.31,0.00,72,0,0.00,0,1756,268,0.00,360,35,0,0.00,0.13
