Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,206,3592,141,0.00,0.00,50,0,0.00,27,440,80,0.00,360,15,0,0.00,0.00
2,223,3847,161,0.03,0.00,51,0,0.00,30,535,93,0.00,360,16,0,0.00,0.00
3,241,4103,182,0.06,0.00,53,0,0.00,33,630,107,0.00,360,18,0,0.00,0.00
4,260,4359,203,0.09,0.00,55,0,0.00,36,725,120,0.00,360,19,0,0.00,0.00
5,273,4615,224,0.12,0.00,57,0,0.00,39,820,134,0.00,360,21,0,0.00,0.00
6,297,4781,245,0.15,0.00,59,0,0.00,42,915,147,0.00,360,22,0,0.00,0.00
7,314,5126,226,0.18,0.00,61,0,0.00,45,1010,161,0.00,360,24,0,0.00,0.00
8,332,5382,287,0.21,0.00,63,0,0.00,48,1105,174,0.00,360,26,0,0.00,0.00
9,351,5638,308,0.24,0.00,65,0,0.00,51,1200,188,0.00,360,27,0,0.00,0.00
10,369,5894,329,0.27,0.00,67,0,0.00,54,1295,201,0.00,360,29,0,0.00,0.00
11,355,6150,350,0.30,0.00,68,0,0.00,57,1390,215,0.00,360,30,0,0.00,0.00
12,405,6405,370,0.33,0.00,70,0,0.00,60,1485,228,0.00,360,32,0,0.00,0.00
13,423,6661,391,0.36,0.00,72,0,0.00,63,1580,242,0.00,360,34,0,0.00,0.00
14,441,6917,412,0.39,0.00,74,0,0.00,66,1675,255,0.00,360,35,0,0.00,0.00
15,460,7173,433,0.42,0.00,76,0,0.00,69,1770,169,0.00,360,37,0,0.00,0.00
