Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,157,3835,166,0.00,0.00,68,0,0.00,0,420,80,0.00,380,15,0,0.00,0.00
2,169,4215,195,0.01,0.00,72,0,0.00,0,511,93,0.00,380,16,0,0.00,0.00
3,182,4595,224,0.02,0.00,77,0,0.00,0,602,107,0.00,380,18,0,0.00,0.00
4,195,4975,253,0.03,0.00,81,0,0.00,0,693,120,0.00,380,19,0,0.00,0.00
5,207,5355,282,0.04,0.00,86,0,0.00,0,784,134,0.00,380,21,0,0.00,0.00
6,220,5735,311,0.05,0.00,91,0,0.00,0,875,148,0.00,380,22,0,0.00,0.00
7,233,6115,340,0.06,0.00,95,0,0.00,0,966,161,0.00,380,24,0,0.00,0.00
8,245,6495,369,0.07,0.00,100,0,0.00,0,1057,175,0.00,380,25,0,0.00,0.00
9,258,6875,398,0.08,0.00,104,0,0.00,0,1148,188,0.00,380,27,0,0.00,0.00
10,271,7255,427,0.09,0.00,109,0,0.00,0,1239,202,0.00,380,28,0,0.00,0.00
11,283,7635,456,0.10,0.00,113,0,0.00,0,1330,215,0.00,380,29,0,0.00,0.00
12,296,8015,485,0.11,0.00,118,0,0.00,0,1421,229,0.00,380,31,0,0.00,0.00
13,308,8395,514,0.12,0.00,122,0,0.00,0,1512,242,0.00,380,32,0,0.00,0.00
14,321,8775,543,0.13,0.00,127,0,0.00,0,1603,256,0.00,380,34,0,0.00,0.00
15,334,9155,572,0.14,0.00,131,0,0.00,0,1694,269,0.00,380,35,0,0.00,0.00
