Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,189,3570,137,0.00,0.00,61,0,0.00,27,490,80,80,0.00,400,17,0,0.00,0.00
2,206,3825,158,0.02,0.00,64,0,0.00,30,595,93,93,0.00,400,18,0,0.00,0.00
3,224,4080,180,0.04,0.00,67,0,0.00,33,700,107,107,0.00,400,20,0,0.00,0.00
4,241,4335,202,0.06,0.00,70,0,0.00,36,805,120,120,0.00,400,22,0,0.00,0.00
5,259,4590,224,0.08,0.00,73,0,0.00,39,910,134,134,0.00,400,24,0,0.00,0.00
6,276,4845,246,0.10,0.00,76,0,0.00,42,1015,147,147,0.00,400,25,0,0.00,0.00
7,294,5100,268,0.12,0.00,79,0,0.00,45,1120,161,161,0.00,400,27,0,0.00,0.00
8,312,5355,290,0.14,0.00,82,0,0.00,48,1225,175,175,0.00,400,29,0,0.00,0.00
9,329,5610,312,0.16,0.00,85,0,0.00,51,1330,188,188,0.00,400,31,0,0.00,0.00
10,346,5865,334,0.18,0.00,88,0,0.00,54,1435,201,201,0.00,400,33,0,0.00,0.00
11,364,6120,356,0.20,0.00,91,0,0.00,57,1540,215,215,0.00,400,34,0,0.00,0.00
12,381,6375,377,0.22,0.00,94,0,0.00,60,1645,228,228,0.00,400,36,0,0.00,0.00
13,399,6630,399,0.24,0.00,97,0,0.00,63,1750,242,242,0.00,400,38,0,0.00,0.00
14,416,6885,421,0.26,0.00,100,0,0.00,66,1855,255,255,0.00,400,39,0,0.00,0.00
15,434,7140,443,0.28,0.00,103,0,0.00,69,1960,269,269,0.00,400,41,0,0.00,0.00
