Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,183,3400,135,0.00,0.00,50,0,0.00,27,0,80,0.00,360,0,0,0.00,0.00
2,200,3660,155,0.03,0.00,52,0,0.00,30,0,93,0.00,360,0,0,0.00,0.00
3,217,3920,175,0.06,0.00,54,0,0.00,33,0,107,0.00,360,0,0,0.00,0.00
4,234,4180,195,0.09,0.00,56,0,0.00,36,0,120,0.00,360,0,0,0.00,0.00
5,251,4440,215,0.12,0.00,58,0,0.00,39,0,134,0.00,360,0,0,0.00,0.00
6,268,4700,235,0.15,0.00,60,0,0.00,42,0,147,0.00,360,0,0,0.00,0.00
7,285,4960,255,0.18,0.00,62,0,0.00,45,0,161,0.00,360,0,0,0.00,0.00
8,302,5220,275,0.21,0.00,64,0,0.00,48,0,175,0.00,360,0,0,0.00,0.00
9,319,5480,295,0.24,0.00,66,0,0.00,51,0,188,0.00,360,0,0,0.00,0.00
10,336,5740,315,0.27,0.00,68,0,0.00,54,0,201,0.00,360,0,0,0.00,0.00
11,353,6000,335,0.30,0.00,70,0,0.00,57,0,215,0.00,360,0,0,0.00,0.00
12,370,6260,355,0.33,0.00,72,0,0.00,60,0,228,0.00,360,0,0,0.00,0.00
13,387,6520,375,0.36,0.00,74,0,0.00,63,0,242,0.00,360,0,0,0.00,0.00
14,404,6780,395,0.39,0.00,76,0,0.00,66,0,255,0.00,360,0,0,0.00,0.00
15,421,7040,415,0.42,0.00,78,0,0.00,69,0,269,0.00,360,0,0,0.00,0.00
