Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,163,3858,165,0.00,0.00,67,0,0.00,0,420,80,0.00,370,15,0,0.00,0.00
2,171,4238,194,0.01,0.00,71,0,0.00,0,512,93,0.00,370,16,0,0.00,0.00
3,180,4618,224,0.02,0.00,76,0,0.00,0,604,107,0.00,370,18,0,0.00,0.00
4,189,4998,254,0.03,0.00,81,0,0.00,0,696,120,0.00,370,19,0,0.00,0.00
5,198,5378,284,0.04,0.00,86,0,0.00,0,788,134,0.00,370,21,0,0.00,0.00
6,207,5758,314,0.05,0.00,91,0,0.00,0,880,148,0.00,370,23,0,0.00,0.00
7,216,6138,344,0.06,0.00,96,0,0.00,0,972,161,0.00,370,24,0,0.00,0.00
8,225,6518,374,0.07,0.00,101,0,0.00,0,1064,175,0.00,370,26,0,0.00,0.00
9,233,6898,403,0.08,0.00,105,0,0.00,0,1156,188,0.00,370,27,0,0.00,0.00
10,242,7278,433,0.09,0.00,110,0,0.00,0,1248,202,0.00,370,29,0,0.00,0.00
11,251,7658,463,0.10,0.00,115,0,0.00,0,1340,215,0.00,370,30,0,0.00,0.00
12,260,8038,493,0.11,0.00,120,0,0.00,0,1432,229,0.00,370,32,0,0.00,0.00
13,269,8418,523,0.12,0.00,125,0,0.00,0,1524,242,0.00,370,33,0,0.00,0.00
14,277,8798,552,0.13,0.00,129,0,0.00,0,1616,256,0.00,370,35,0,0.00,0.00
15,286,9178,582,0.14,0.00,134,0,0.00,0,1708,269,0.00,370,36,0,0.00,0.00
