Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,164,3485,133,0.00,0.00,54,18,0.00,12,490,80,0.00,360,18,18,0.00,0.00
2,173,3730,153,0.01,0.00,56,21,0.00,12,597,93,0.00,360,19,21,0.00,0.00
3,182,3975,174,0.02,0.00,58,24,0.00,12,702,107,0.00,360,21,24,0.00,0.00
4,192,4220,195,0.03,0.00,60,27,0.00,12,811,120,0.00,360,23,27,0.00,0.00
5,201,4465,216,0.04,0.00,62,30,0.00,12,918,134,0.00,360,25,30,0.00,0.00
6,211,4710,237,0.05,0.00,64,33,0.00,12,1025,147,0.00,360,27,33,0.00,0.00
7,220,4955,258,0.06,0.00,66,36,0.00,12,1132,160,0.00,360,29,36,0.00,0.00
8,229,5200,279,0.07,0.00,68,39,0.00,12,1239,174,0.00,360,31,39,0.00,0.00
9,239,5445,299,0.08,0.00,70,42,0.00,12,1346,187,0.00,360,32,42,0.00,0.00
10,248,5690,320,0.09,0.00,72,45,0.00,12,1453,201,0.00,360,34,45,0.00,0.00
11,257,5935,341,0.10,0.00,74,48,0.00,12,1560,214,0.00,360,36,48,0.00,0.00
12,267,6180,362,0.11,0.00,76,51,0.00,12,1667,228,0.00,360,38,51,0.00,0.00
13,276,6425,383,0.12,0.00,78,54,0.00,12,1774,241,0.00,360,40,54,0.00,0.00
14,285,6670,403,0.13,0.00,80,57,0.00,12,1881,255,0.00,360,41,57,0.00,0.00
15,294,6915,424,0.14,0.00,82,60,0.00,12,1988,268,0.00,360,43,60,0.00,0.00
