Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,181,3592,141,0.00,0.00,50,18,0.00,12,440,80,0.00,360,15,18,0.00,0.00
2,195,3833,161,0.03,0.00,51,21,0.00,15,535,93,0.00,360,16,21,0.00,0.00
3,210,4074,182,0.06,0.00,53,24,0.00,12,630,107,0.00,360,18,24,0.00,0.00
4,225,4315,203,0.09,0.00,55,27,0.00,12,725,120,0.00,360,19,27,0.00,0.00
5,240,4557,224,0.12,0.00,57,30,0.00,12,820,134,0.00,360,21,30,0.00,0.00
6,255,4798,245,0.15,0.00,59,33,0.00,12,915,147,0.00,360,22,33,0.00,0.00
7,269,5039,266,0.18,0.00,61,36,0.00,12,1010,161,0.00,360,24,36,0.00,0.00
8,284,5280,287,0.21,0.00,63,39,0.00,12,1105,174,0.00,360,26,39,0.00,0.00
9,299,5522,308,0.24,0.00,65,42,0.00,12,1200,188,0.00,360,27,42,0.00,0.00
10,314,5763,329,0.27,0.00,67,45,0.00,12,1295,201,0.00,360,29,45,0.00,0.00
11,329,6005,350,0.30,0.00,68,48,0.00,12,1390,215,0.00,360,30,48,0.00,0.00
12,343,6246,370,0.33,0.00,70,51,0.00,12,1485,228,0.00,360,32,51,0.00,0.00
13,358,6487,391,0.36,0.00,72,54,0.00,12,1580,242,0.00,360,34,54,0.00,0.00
14,373,6728,412,0.39,0.00,74,57,0.00,12,1675,225,0.00,360,35,57,0.00,0.00
15,388,6970,433,0.42,0.00,76,60,0.00,12,1770,269,0.00,360,37,60,0.00,0.00
