Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,180,3579,132,0.00,0.00,56,18,0.00,15,490,80,0.00,432,18,18,0.00,0.00
2,190,3846,152,0.01,0.00,58,21,0.00,18,599,93,0.00,432,19,19,0.00,0.00
3,201,4113,173,0.02,0.00,60,24,0.00,21,708,107,0.00,432,21,24,0.00,0.00
4,212,4380,194,0.03,0.00,62,27,0.00,24,817,120,0.00,432,23,27,0.00,0.00
5,223,4647,214,0.04,0.00,64,30,0.00,27,926,134,0.00,432,25,30,0.00,0.00
6,234,4914,235,0.05,0.00,66,33,0.00,30,1035,147,0.00,432,27,33,0.00,0.00
7,245,5181,256,0.06,0.00,68,36,0.00,33,1144,160,0.00,432,29,36,0.00,0.00
8,256,5448,276,0.07,0.00,70,39,0.00,36,1253,174,0.00,432,31,39,0.00,0.00
9,266,5715,297,0.08,0.00,72,42,0.00,39,1362,187,0.00,432,32,42,0.00,0.00
10,277,5982,318,0.09,0.00,74,45,0.00,42,1471,201,0.00,432,34,46,0.00,0.00
11,288,6249,338,0.10,0.00,76,48,0.00,45,1580,214,0.00,432,36,49,0.00,0.00
12,299,6516,359,0.11,0.00,78,51,0.00,48,1689,228,0.00,432,38,52,0.00,0.00
13,310,6783,379,0.12,0.00,80,54,0.00,51,1798,241,0.00,432,40,55,0.00,0.00
14,320,7050,400,0.13,0.00,82,57,0.00,54,1907,255,0.00,432,41,58,0.00,0.00
15,331,7317,421,0.14,0.00,84,60,0.00,57,2016,268,0.00,432,43,62,0.00,0.00
