Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,185,3785,145,0.00,0.00,62,0,0.00,27,0,80,0.00,380,0,0,0.00,0.00
2,197,4160,174,0.03,0.00,65,0,0.00,30,0,93,0.00,380,0,0,0.00,0.00
3,209,4535,203,0.06,0.00,68,0,0.00,33,0,107,0.00,380,0,0,0.00,0.00
4,221,4910,232,0.09,0.00,71,0,0.00,36,0,121,0.00,380,0,0,0.00,0.00
5,233,5285,261,0.12,0.00,74,0,0.00,39,0,134,0.00,380,0,0,0.00,0.00
6,245,5660,290,0.15,0.00,77,0,0.00,42,0,147,0.00,380,0,0,0.00,0.00
7,257,6035,319,0.18,0.00,80,0,0.00,45,0,161,0.00,380,0,0,0.00,0.00
8,269,6410,348,0.21,0.00,83,0,0.00,48,0,175,0.00,380,0,0,0.00,0.00
9,281,6785,377,0.24,0.00,86,0,0.00,51,0,188,0.00,380,0,0,0.00,0.00
10,293,7160,406,0.27,0.00,89,0,0.00,54,0,202,0.00,380,0,0,0.00,0.00
11,305,7535,435,0.30,0.00,92,0,0.00,57,0,215,0.00,380,0,0,0.00,0.00
12,317,7910,464,0.33,0.00,95,0,0.00,60,0,229,0.00,380,0,0,0.00,0.00
13,329,8285,493,0.36,0.00,98,0,0.00,63,0,242,0.00,380,0,0,0.00,0.00
14,341,8660,522,0.39,0.00,101,0,0.00,66,0,256,0.00,380,0,0,0.00,0.00
15,353,9035,551,0.42,0.00,104,0,0.00,69,0,269,0.00,380,0,0,0.00,0.00
