Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,183,3617,130,0.00,0.00,60,0,0.00,27,450,80,0.00,370,15,0,0.00,0.00
2,198,3929,155,0.02,0.00,62,0,0.00,30,545,93,0.00,370,16,0,0.00,0.00
3,213,4242,181,0.04,0.00,65,0,0.00,33,640,107,0.00,370,18,0,0.00,0.00
4,228,4554,207,0.06,0.00,68,0,0.00,36,735,120,0.00,370,19,0,0.00,0.00
5,243,4867,232,0.08,0.00,71,0,0.00,39,830,134,0.00,370,21,0,0.00,0.00
6,258,5179,258,0.10,0.00,74,0,0.00,42,925,147,0.00,370,22,0,0.00,0.00
7,273,5492,284,0.12,0.00,77,0,0.00,45,1020,161,0.00,370,24,0,0.00,0.00
8,288,5805,310,0.14,0.00,80,0,0.00,48,1115,175,0.00,370,26,0,0.00,0.00
9,303,6117,335,0.16,0.00,83,0,0.00,51,1210,188,0.00,370,27,0,0.00,0.00
10,318,6429,361,0.18,0.00,86,0,0.00,54,1305,201,0.00,370,28,0,0.00,0.00
11,333,6742,387,0.20,0.00,89,0,0.00,57,1400,215,0.00,370,30,0,0.00,0.00
12,348,7054,412,0.22,0.00,91,0,0.00,60,1495,228,0.00,370,31,0,0.00,0.00
13,363,7367,438,0.24,0.00,94,0,0.00,63,1590,242,0.00,370,33,0,0.00,0.00
14,378,7679,463,0.26,0.00,97,0,0.00,66,1685,255,0.00,370,34,0,0.00,0.00
15,393,7992,489,0.28,0.00,100,0,0.00,69,1780,269,0.00,370,36,0,0.00,0.00
