Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,171,3786,188,0.00,0.00,90,0,0.00,0,470,140,0.00,380,17,0,0.00,0.00
2,180,4193,206,0.01,0.00,98,0,0.00,0,574,158,0.00,380,18,0,0.00,0.00
3,189,4601,229,0.02,0.00,107,0,0.00,0,678,172,0.00,380,20,0,0.00,0.00
4,198,5009,257,0.03,0.00,115,0,0.00,0,782,190,0.00,380,22,0,0.00,0.00
5,207,5416,280,0.04,0.00,124,0,0.00,0,886,209,0.00,380,24,0,0.00,0.00
6,217,5824,304,0.05,0.00,133,0,0.00,0,990,232,0.00,380,26,0,0.00,0.00
7,226,6232,322,0.06,0.00,141,0,0.00,0,1094,246,0.00,380,27,0,0.00,0.00
8,235,6640,345,0.07,0.00,149,0,0.00,0,1198,264,0.00,380,29,0,0.00,0.00
9,244,7047,373,0.08,0.00,158,0,0.00,0,1302,282,0.00,380,31,0,0.00,0.00
10,254,7455,396,0.09,0.00,167,0,0.00,0,1406,300,0.00,380,33,0,0.00,0.00
11,263,7863,415,0.10,0.00,175,0,0.00,0,1510,318,0.00,380,35,0,0.00,0.00
12,272,8270,443,0.11,0.00,184,0,0.00,0,1614,336,0.00,380,36,0,0.00,0.00
13,281,8678,466,0.12,0.00,192,0,0.00,0,1718,354,0.00,380,38,0,0.00,0.00
14,290,9085,484,0.13,0.00,201,0,0.00,0,1822,372,0.00,380,40,0,0.00,0.00
15,299,9493,512,0.14,0.00,210,0,0.00,0,1926,390,0.00,380,42,0,0.00,0.00
