Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,189,3357,133,0.00,0.00,50,0,0.00,27,450,80,0.00,360,16,0,0.00,0.00
2,207,3624,154,0.04,0.00,52,0,0.00,30,547,93,0.00,360,17,0,0.00,0.00
3,226,3891,176,0.08,0.00,54,0,0.00,33,644,107,0.00,360,19,0,0.00,0.00
4,245,4158,197,0.12,0.00,56,0,0.00,36,741,120,0.00,360,20,0,0.00,0.00
5,264,4425,219,0.16,0.00,58,0,0.00,39,838,134,0.00,360,22,0,0.00,0.00
6,283,4692,241,0.20,0.00,60,0,0.00,42,935,147,0.00,360,23,0,0.00,0.00
7,302,4959,262,0.24,0.00,62,0,0.00,45,1032,160,0.00,360,24,0,0.00,0.00
8,321,5226,284,0.28,0.00,64,0,0.00,48,1129,174,0.00,360,26,0,0.00,0.00
9,339,5493,305,0.32,0.00,66,0,0.00,51,1226,187,0.00,360,27,0,0.00,0.00
10,358,5760,327,0.36,0.00,68,0,0.00,54,1323,201,0.00,360,29,0,0.00,0.00
11,377,6027,348,0.40,0.00,70,0,0.00,57,1420,214,0.00,360,30,0,0.00,0.00
12,396,6294,370,0.44,0.00,72,0,0.00,60,1517,228,0.00,360,32,0,0.00,0.00
13,415,6561,391,0.48,0.00,74,0,0.00,63,1614,241,0.00,360,33,0,0.00,0.00
14,433,6828,413,0.52,0.00,76,0,0.00,66,1711,255,0.00,360,35,0,0.00,0.00
15,452,7095,434,0.56,0.00,78,0,0.00,69,1808,268,0.00,360,36,0,0.00,0.00
