Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,191,3784,141,0.00,0.00,72,0,0.00,27,0,80,0.00,380,0,0,0.00,0.00
2,205,4140,166,0.02,0.00,75,0,0.00,30,0,93,0.00,380,0,0,0.00,0.00
3,220,4497,192,0.04,0.00,78,0,0.00,33,0,107,0.00,380,0,0,0.00,0.00
4,235,4853,218,0.06,0.00,81,0,0.00,36,0,120,0.00,380,0,0,0.00,0.00
5,249,5210,244,0.08,0.00,84,0,0.00,39,0,134,0.00,380,0,0,0.00,0.00
6,264,5567,270,0.10,0.00,87,0,0.00,42,0,147,0.00,380,0,0,0.00,0.00
7,279,5923,296,0.12,0.00,90,0,0.00,45,0,160,0.00,380,0,0,0.00,0.00
8,293,6280,322,0.14,0.00,93,0,0.00,48,0,174,0.00,380,0,0,0.00,0.00
9,308,6636,347,0.16,0.00,96,0,0.00,51,0,187,0.00,380,0,0,0.00,0.00
10,323,6993,373,0.18,0.00,99,0,0.00,54,0,201,0.00,380,0,0,0.00,0.00
11,337,7349,399,0.20,0.00,102,0,0.00,57,0,214,0.00,380,0,0,0.00,0.00
12,352,7706,425,0.22,0.00,105,0,0.00,60,0,228,0.00,380,0,0,0.00,0.00
13,366,8062,451,0.24,0.00,108,0,0.00,63,0,241,0.00,380,0,0,0.00,0.00
14,381,8419,476,0.26,0.00,111,0,0.00,66,0,255,0.00,380,0,0,0.00,0.00
15,396,8775,502,0.28,0.00,114,0,0.00,69,0,268,0.00,380,0,0,0.00,0.00
