Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,166,3719,159,0.00,0.00,68,0,0.00,12,470,80,0.00,380,17,0,0.00,0.00
2,176,4120,189,0.03,0.00,72,0,0.00,12,575,93,0.00,380,18,0,0.00,0.00
3,186,4521,220,0.06,0.00,76,0,0.00,12,680,107,0.00,380,20,0,0.00,0.00
4,196,4922,250,0.09,0.00,80,0,0.00,12,785,120,0.00,380,22,0,0.00,0.00
5,207,5323,281,0.12,0.00,84,0,0.00,12,890,134,0.00,380,24,0,0.00,0.00
6,217,5724,312,0.15,0.00,89,0,0.00,12,995,147,0.00,380,26,0,0.00,0.00
7,227,6125,342,0.18,0.00,93,0,0.00,12,1100,161,0.00,380,27,0,0.00,0.00
8,238,6526,373,0.21,0.00,97,0,0.00,12,1205,174,0.00,380,29,0,0.00,0.00
9,248,6927,403,0.24,0.00,101,0,0.00,12,1310,188,0.00,380,31,0,0.00,0.00
10,258,7328,434,0.27,0.00,106,0,0.00,12,1415,201,0.00,380,33,0,0.00,0.00
11,269,7729,465,0.30,0.00,110,0,0.00,12,1520,215,0.00,380,35,0,0.00,0.00
12,278,8130,495,0.33,0.00,114,0,0.00,12,1625,228,0.00,380,36,0,0.00,0.00
13,289,8531,526,0.36,0.00,118,0,0.00,12,1730,242,0.00,380,38,0,0.00,0.00
14,299,8932,556,0.39,0.00,123,0,0.00,12,1835,255,0.00,380,40,0,0.00,0.00
15,310,9333,587,0.42,0.00,127,0,0.00,12,1940,269,0.00,380,42,0,0.00,0.00
