Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,168,3724,135,0.00,0.00,66,0,0.00,0,430,80,0.00,360,15,0,0.00,0.00
2,180,4080,160,0.01,0.00,70,0,0.00,0,525,93,0.00,360,16,0,0.00,0.00
3,193,4437,186,0.02,0.00,74,0,0.00,0,620,107,0.00,360,20,0,0.00,0.00
4,206,4793,212,0.03,0.00,78,0,0.00,0,715,120,0.00,360,21,0,0.00,0.00
5,218,5150,238,0.04,0.00,82,0,0.00,0,810,134,0.00,360,24,0,0.00,0.00
6,231,5506,264,0.05,0.00,86,0,0.00,0,905,147,0.00,360,26,0,0.00,0.00
7,243,5863,289,0.06,0.00,90,0,0.00,0,1000,161,0.00,360,28,0,0.00,0.00
8,256,6219,315,0.07,0.00,94,0,0.00,0,1095,174,0.00,360,31,0,0.00,0.00
9,269,6576,341,0.08,0.00,98,0,0.00,0,1190,188,0.00,360,33,0,0.00,0.00
10,282,6932,366,0.09,0.00,102,0,0.00,0,1285,201,0.00,360,35,0,0.00,0.00
11,294,7288,392,0.10,0.00,106,0,0.00,0,1380,214,0.00,360,37,0,0.00,0.00
12,307,7645,418,0.11,0.00,110,0,0.00,0,1475,228,0.00,360,39,0,0.00,0.00
13,320,8001,444,0.12,0.00,114,0,0.00,0,1570,241,0.00,360,42,0,0.00,0.00
14,332,8358,469,0.13,0.00,118,0,0.00,0,1665,255,0.00,360,44,0,0.00,0.00
15,345,8714,495,0.14,0.00,122,0,0.00,0,1760,268,0.00,360,46,0,0.00,0.00
