Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,173,3575,145,0.00,0.00,61,0,0.00,12,440,80,0.00,380,15,0,0.00,0.13
2,187,3928,167,0.02,0.00,64,0,0.00,12,535,93,0.00,380,18,0,0.00,0.13
3,201,4282,189,0.04,0.00,67,0,0.00,12,630,107,0.00,380,20,0,0.00,0.13
4,215,4636,211,0.06,0.00,71,0,0.00,12,725,120,0.00,380,22,0,0.00,0.13
5,229,4990,233,0.08,0.00,74,0,0.00,12,820,134,0.00,380,25,0,0.00,0.13
6,243,5344,255,0.10,0.00,78,0,0.00,12,915,147,0.00,380,27,0,0.00,0.13
7,257,5697,277,0.12,0.00,81,0,0.00,12,1010,161,0.00,380,30,0,0.00,0.13
8,271,6051,299,0.14,0.00,84,0,0.00,12,1105,174,0.00,380,32,0,0.00,0.13
9,285,6405,321,0.16,0.00,88,0,0.00,12,1200,188,0.00,380,34,0,0.00,0.13
10,299,6758,343,0.18,0.00,91,0,0.00,12,1295,201,0.00,380,36,0,0.00,0.13
11,313,7112,365,0.20,0.00,94,0,0.00,12,1390,214,0.00,380,39,0,0.00,0.13
12,327,7466,387,0.22,0.00,98,0,0.00,12,1485,228,0.00,380,41,0,0.00,0.13
13,341,7820,409,0.24,0.00,101,0,0.00,12,1580,241,0.00,380,43,0,0.00,0.13
14,355,8173,431,0.26,0.00,104,0,0.00,12,1675,255,0.00,380,46,0,0.00,0.13
15,369,8527,453,0.28,0.00,107,0,0.00,12,1770,268,0.00,380,48,0,0.00,0.13
