Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,184,3582,140,0.00,0.00,52,0,0.00,15,440,80,0.00,360,15,0,0.00,0.00
2,200,3837,160,0.03,0.00,53,0,0.00,18,534,93,0.00,360,16,0,0.00,0.00
3,217,4092,180,0.06,0.00,55,0,0.00,21,628,107,0.00,360,18,0,0.00,0.00
4,234,4347,200,0.09,0.00,57,0,0.00,24,722,120,0.00,360,19,0,0.00,0.00
5,251,4602,221,0.12,0.00,59,0,0.00,27,816,134,0.00,360,21,0,0.00,0.00
6,268,4857,241,0.15,0.00,61,0,0.00,30,910,147,0.00,360,22,0,0.00,0.00
7,284,5112,261,0.18,0.00,63,0,0.00,33,1004,161,0.00,360,24,0,0.00,0.00
8,301,5367,282,0.21,0.00,65,0,0.00,36,1098,174,0.00,360,25,0,0.00,0.00
9,318,5622,302,0.24,0.00,67,0,0.00,39,1192,188,0.00,360,27,0,0.00,0.00
10,335,5877,322,0.27,0.00,69,0,0.00,42,1286,201,0.00,360,29,0,0.00,0.00
11,352,6132,343,0.30,0.00,71,0,0.00,45,1380,215,0.00,360,30,0,0.00,0.00
12,368,6387,363,0.33,0.00,73,0,0.00,48,1474,228,0.00,360,32,0,0.00,0.00
13,385,6642,383,0.36,0.00,75,0,0.00,51,1568,242,0.00,360,33,0,0.00,0.00
14,402,6897,403,0.39,0.00,77,0,0.00,54,1662,255,0.00,360,35,0,0.00,0.00
15,419,7152,424,0.42,0.00,79,0,0.00,57,1756,269,0.00,360,36,0,0.00,0.00
