Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,169,3475,140,0.00,0.00,45,18,0.00,15,490,50,0.00,360,18,18,0.00,0.00
2,178,3742,158,0.01,0.00,46,21,0.00,18,597,63,0.00,360,19,21,0.00,0.00
3,188,4009,177,0.02,0.00,48,24,0.00,21,704,77,0.00,360,21,24,0.00,0.00
4,198,4276,196,0.03,0.00,50,27,0.00,24,811,90,0.00,360,23,27,0.00,0.00
5,208,4543,215,0.04,0.00,52,30,0.00,27,918,104,0.00,360,25,30,0.00,0.00
6,218,4810,234,0.05,0.00,54,33,0.00,30,1025,117,0.00,360,27,33,0.00,0.00
7,228,5077,253,0.06,0.00,56,36,0.00,33,1132,130,0.00,360,29,36,0.00,0.00
8,238,5344,272,0.07,0.00,58,39,0.00,36,1239,144,0.00,360,31,39,0.00,0.00
9,247,5611,290,0.08,0.00,59,42,0.00,39,1346,157,0.00,360,32,42,0.00,0.00
10,257,5878,309,0.09,0.00,61,45,0.00,42,1453,171,0.00,360,34,45,0.00,0.00
11,267,6145,328,0.10,0.00,63,48,0.00,45,1560,184,0.00,360,36,48,0.00,0.00
12,277,6412,347,0.11,0.00,65,51,0.00,48,1667,198,0.00,360,38,51,0.00,0.00
13,287,6679,366,0.12,0.00,67,54,0.00,51,1774,211,0.00,360,40,54,0.00,0.00
14,296,6946,384,0.13,0.00,68,57,0.00,54,1881,225,0.00,360,41,57,0.00,0.00
15,306,7213,403,0.14,0.00,70,60,0.00,57,1988,238,0.00,360,43,60,0.00,0.00
