Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,186,3784,135,0.00,0.00,62,0,0.00,27,430,80,0.00,370,16,0,0.00,0.00
2,202,4140,160,0.03,0.00,65,0,0.00,30,526,93,0.00,370,17,0,0.00,0.00
3,219,4497,186,0.06,0.00,68,0,0.00,33,622,107,0.00,370,19,0,0.00,0.00
4,236,4853,212,0.09,0.00,72,0,0.00,36,718,120,0.00,370,21,0,0.00,0.00
5,253,5210,238,0.12,0.00,75,0,0.00,39,814,134,0.00,370,22,0,0.00,0.00
6,270,5567,264,0.15,0.00,78,0,0.00,42,910,147,0.00,370,24,0,0.00,0.00
7,286,5923,290,0.18,0.00,82,0,0.00,45,1006,161,0.00,370,26,0,0.00,0.00
8,303,6279,316,0.21,0.00,85,0,0.00,48,1102,175,0.00,370,28,0,0.00,0.00
9,320,6636,342,0.24,0.00,88,0,0.00,51,1198,188,0.00,370,29,0,0.00,0.00
10,337,6993,368,0.27,0.00,92,0,0.00,54,1294,201,0.00,370,31,0,0.00,0.00
11,354,7349,394,0.30,0.00,95,0,0.00,57,1390,215,0.00,370,33,0,0.00,0.00
12,370,7706,419,0.33,0.00,98,0,0.00,60,1486,228,0.00,370,34,0,0.00,0.00
13,387,8062,445,0.36,0.00,101,0,0.00,63,1582,242,0.00,370,36,0,0.00,0.00
14,404,8419,471,0.39,0.00,105,0,0.00,66,1678,255,0.00,370,37,0,0.00,0.00
15,421,8776,497,0.42,0.00,108,0,0.00,69,1774,269,0.00,370,39,0,0.00,0.00
