Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,161,3585,141,0.00,0.00,54,18,0,12,490,80,0.00,360,18,0,0.00,0.00
2,168,3867,159,0.01,0.00,56,21,0,12,597,93,0.00,360,19,21,0.00,0.00
3,176,4150,178,0.02,0.00,58,24,0,12,704,107,0.00,360,21,24,0.00,0.00
4,184,4432,197,0.03,0.00,60,27,0,12,811,120,0.00,360,23,27,0.00,0.00
5,192,4715,216,0.04,0.00,62,30,0,12,918,134,0.00,360,25,39,0.00,0.00
6,200,4997,235,0.05,0.00,64,33,0,12,1025,147,0.00,360,27,48,0.00,0.00
7,207,5280,253,0.06,0.00,66,36,0,12,1132,161,0.00,360,28,56,0.00,0.00
8,215,5562,272,0.07,0.00,68,39,0,12,1239,174,0.00,360,30,65,0.00,0.00
9,223,5845,291,0.08,0.00,70,42,0,12,1346,188,0.00,360,32,73,0.00,0.00
10,230,6127,309,0.09,0.00,72,45,0,12,1453,201,0.00,360,33,81,0.00,0.00
11,238,6409,328,0.10,0.00,74,48,0,12,1560,214,0.00,360,35,90,0.00,0.00
12,246,6692,347,0.11,0.00,76,51,0,12,1667,228,0.00,360,37,98,0.00,0.00
13,254,6974,366,0.12,0.00,78,54,0,12,1774,241,0.00,360,39,107,0.00,0.00
14,261,7257,384,0.13,0.00,80,57,0,12,1881,255,0.00,360,40,115,0.00,0.00
15,269,7539,403,0.14,0.00,82,60,0,12,1988,268,0.00,360,42,123,0.00,0.00
