Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,183,3617,136,0.00,0.00,60,18,0,15,430,80,0.00,380,15,18,0.00,0.00
2,199,3929,161,0.02,0.00,92,21,0,18,525,93,0.00,380,16,21,0.00,0.00
3,216,4242,187,0.04,0.00,65,24,0,21,620,107,0.00,380,18,24,0.00,0.00
4,233,4554,213,0.06,0.00,68,27,0,24,715,120,0.00,380,19,27,0.00,0.00
5,250,4867,238,0.08,0.00,71,30,0,27,810,134,0.00,380,21,30,0.00,0.00
6,267,5179,264,0.10,0.00,74,33,0,30,905,147,0.00,380,23,33,0.00,0.00
7,283,5492,290,0.12,0.00,77,36,0,33,1000,161,0.00,380,24,36,0.00,0.00
8,300,5804,315,0.14,0.00,79,39,0,36,1095,174,0.00,380,26,39,0.00,0.00
9,317,6117,341,0.16,0.00,82,42,0,39,1190,188,0.00,380,28,42,0.00,0.00
10,334,6429,367,0.18,0.00,85,45,0,42,1285,201,0.00,380,29,45,0.00,0.00
11,351,6742,393,0.20,0.00,88,48,0,45,1380,215,0.00,380,31,48,0.00,0.00
12,367,7054,418,0.22,0.00,91,51,0,48,1475,228,0.00,380,33,51,0.00,0.00
13,384,7367,444,0.24,0.00,94,54,0,51,1570,242,0.00,380,34,54,0.00,0.00
14,401,7679,470,0.26,0.00,97,57,0,54,1665,255,0.00,380,36,57,0.00,0.00
15,418,7992,495,0.28,0.00,99,60,0,57,1760,269,0.00,380,37,60,0.00,0.00
