Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,183,3371,148,0.00,0.00,62,18,0.00,15,450,62,0.00,380,16,18,0.00,0.00
2,196,3692,171,0.01,0.00,65,21,0.00,18,549,65,0.00,380,17,21,0.00,0.00
3,209,4013,194,0.04,0.00,68,24,0.00,21,648,68,0.00,380,19,24,0.00,0.00
4,222,4334,217,0.06,0.00,72,27,0.00,24,747,72,0.00,380,21,27,0.00,0.00
5,235,4655,240,0.08,0.00,75,30,0.00,27,846,75,0.00,380,22,30,0.00,0.00
6,249,4976,263,0.10,0.00,78,33,0.00,30,945,78,0.00,380,24,33,0.00,0.00
7,262,5297,286,0.12,0.00,82,36,0.00,33,1044,82,0.00,380,26,36,0.00,0.00
8,275,5618,309,0.14,0.00,85,39,0.00,36,1143,85,0.00,380,28,39,0.00,0.00
9,288,5939,332,0.16,0.00,88,42,0.00,39,1242,88,0.00,380,29,42,0.00,0.00
10,302,6260,355,0.18,0.00,92,45,0.00,42,1341,92,0.00,380,31,45,0.00,0.00
11,315,6581,378,0.20,0.00,95,48,0.00,45,1440,95,0.00,380,33,48,0.00,0.00
12,328,6902,401,0.23,0.00,98,51,0.00,48,1539,98,0.00,380,34,51,0.00,0.00
13,341,7223,424,0.25,0.00,101,54,0.00,51,1638,101,0.00,380,36,54,0.00,0.00
14,354,7544,447,0.27,0.00,105,57,0.00,54,1737,105,0.00,380,37,57,0.00,0.00
15,367,7865,470,0.29,0.00,108,60,0.00,57,1836,108,0.00,380,39,60,0.00,0.00
