Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,159,3769,166,0.00,0.00,67,0,0.00,12,470,80,0.00,380,16,0,0.00,0.00
2,167,4121,192,0.01,0.00,71,0,0.00,12,570,93,0.00,380,17,0,0.00,0.00
3,175,4474,219,0.02,0.00,75,0,0.00,12,670,107,0.00,380,19,0,0.00,0.00
4,183,4826,246,0.03,0.00,79,0,0.00,12,770,120,0.00,380,20,0,0.00,0.00
5,191,5179,273,0.04,0.00,83,0,0.00,12,870,134,0.00,380,22,0,0.00,0.00
6,200,5532,299,0.05,0.00,87,0,0.00,12,970,148,0.00,380,24,0,0.00,0.00
7,208,5884,326,0.06,0.00,92,0,0.00,12,1070,161,0.00,380,25,0,0.00,0.00
8,216,6237,353,0.07,0.00,96,0,0.00,12,1170,175,0.00,380,27,0,0.00,0.00
9,224,6589,380,0.08,0.00,100,0,0.00,12,1270,188,0.00,380,28,0,0.00,0.00
10,233,6942,406,0.09,0.00,104,0,0.00,12,1370,202,0.00,380,30,0,0.00,0.00
11,241,7294,433,0.10,0.00,108,0,0.00,12,1470,215,0.00,380,31,0,0.00,0.00
12,249,7647,460,0.11,0.00,112,0,0.00,12,1570,229,0.00,380,33,0,0.00,0.00
13,257,7999,487,0.12,0.00,117,0,0.00,12,1670,242,0.00,380,34,0,0.00,0.00
14,265,8352,514,0.13,0.00,121,0,0.00,12,1770,256,0.00,380,36,0,0.00,0.00
15,273,8704,540,0.14,0.00,125,0,0.00,12,1870,269,0.00,380,37,0,0.00,0.00
