Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,188,3469,132,0.00,0.00,54,0,0.00,27,0,80,0.00,380,0,0,0.00,0.00
2,205,3744,154,0.02,0.00,56,0,0.00,30,0,93,0.00,380,0,0,0.00,0.00
3,222,4019,176,0.04,0.00,58,0,0.00,33,0,107,0.00,380,0,0,0.00,0.00
4,239,4294,198,0.06,0.00,60,0,0.00,36,0,120,0.00,380,0,0,0.00,0.00
5,256,4569,221,0.08,0.00,62,0,0.00,39,0,134,0.00,380,0,0,0.00,0.00
6,274,4844,243,0.10,0.00,64,0,0.00,42,0,148,0.00,380,0,0,0.00,0.00
7,291,5119,265,0.12,0.00,66,0,0.00,45,0,161,0.00,380,0,0,0.00,0.00
8,308,5394,288,0.14,0.00,68,0,0.00,48,0,175,0.00,380,0,0,0.00,0.00
9,325,5669,310,0.16,0.00,70,0,0.00,51,0,188,0.00,380,0,0,0.00,0.00
10,343,5944,332,0.18,0.00,72,0,0.00,54,0,202,0.00,380,0,0,0.00,0.00
11,360,6219,354,0.20,0.00,74,0,0.00,57,0,215,0.00,380,0,0,0.00,0.00
12,377,6494,376,0.22,0.00,76,0,0.00,60,0,229,0.00,380,0,0,0.00,0.00
13,394,6769,399,0.24,0.00,78,0,0.00,63,0,242,0.00,380,0,0,0.00,0.00
14,411,7044,421,0.26,0.00,80,0,0.00,66,0,256,0.00,380,0,0,0.00,0.00
15,428,7319,443,0.28,0.00,82,0,0.00,69,0,269,0.00,380,0,0,0.00,0.00
