Hero ID,Hero_Name,First_Class,Second_Class,First_Lane,Second_Lane,Attack Range
H001,Yue,Mage,,Mid Lane,,Ranged
H002,Aya,Roaming,,Roaming,,Ranged
H003,Tachi,Fighter,,Off Lane,Jungle,Melee
H004,Bright,Fighter,,Jungle,Off Lane,Ranged
H005,Lorion,Mage,,Mid Lane,,Ranged
H006,Iggy,Mage,,Mid Lane,,Ranged
H007,Allain,Fighter,,Off Lane,Jungle,Melee
H008,Aoi,Assassin,,Jungle,Off Lane,Melee
H009,Sinestrea,Assassin,,Jungle,Off Lane,Melee
H010,Dextra,Fighter,Tank,Off Lane,,Melee
H011,Thorne,Carry,,Carry,Jungle,Ranged
H012,Keera,Assassin,,Jungle,,Melee
H013,Dirak,Mage,,Mid Lane,,Ranged
H014,Ata,Tank,,Off Lane,Roaming,Melee
H015,Rouie,Roaming,,Roaming,,Ranged
H016,Krizzix,Roaming,,Roaming,,Ranged
H017,Arduin,Fighter ,Tank,Off Lane,Roaming,Melee
H018,Wonder Woman,Fighter,,Off Lane,,Melee
H019,Stuart,Carry,,Carry,,Ranged
H020,Xeniel,Tank,Roaming,Off Lane,Roaming,Melee
H021,Ignis,Mage,,Mid Lane,,Ranged
H022,Kahlii,Mage,,Mid Lane,,Ranged
H023,Taara,Fighter,Tank,Off Lane,,Melee
H024,Mganga,Mage,,Mid Lane,,Ranged
H025,Alice,Roaming,,Roaming,,Ranged
H026,Ormarr,Tank,,Roaming,,Melee
H027,Chaugnar,Tank,Roaming,Roaming,,Melee
H028,Krixi,Mage,,Mid Lane,,Ranged
H029,Ryoma,Fighter,Assassin,Off Lane,Jungle,Melee
H030,Superman,Fighter,,Off Lane,,Melee
H031,Murad,Assassin,,Jungle,,Melee
H032,Kill'Groth,Fighter,,Off Lane,,Melee
H033,Zill,Assassin,,Jungle,,Melee
H034,Moren,Carry,,Carry,,Ranged
H035,Lindis,Carry,,Jungle,Carry,Ranged
H036,TeeMee,Tank,Roaming,Roaming,,Melee
H037,Volkath,Fighter,Assassin,Off Lane,Jungle,Melee
H038,Ishar,Mage,Roaming,Mid Lane,Roaming,Ranged
H039,Eland'orr,Carry,,Jungle,Carry,Ranged
H040,Hayate,Carry,,Carry,,Ranged
H041,Astrid,Fighter,Assassin,Off Lane,Jungle,Melee
H042,Tel'Annas,Carry,,Carry,,Ranged
H043,Valhein,Carry,,Carry,,Ranged
H044,Thane,Tank,,Roaming,Off Lane,Melee
H045,Veera,Mage,,Mid Lane,,Ranged
H046,Azzen'Ka,Mage,,Mid Lane,,Ranged
H047,Gildur,Tank,Roaming,Roaming,Off Lane,Melee
