Ravenous Beasts (Passive),Skill Type,Effect,Recommend Item Type,,,,
,Magic,Heal,"Support, Magic",,,,
,,,,,,,
Lion Tamer ,Skill Type,Effect,Level,Damage,Cooldown,Mana,Recommend Item Type
,Magic,AoE Magic Damage,1,200,5,60,"Magic, Support"
,,,2,260,4.8,60,
,,,3,320,4.6,60,
,,,4,380,4.4,60,
,,,5,440,4.2,60,
,,,6,500,4,60,
,,,,,,,
Uncaged,Skill Type,Effect,Level,Damage,Cooldown,Mana,Recommend Item Type
,Magic,Slow Enemies,1,500,6,75,"Magic, Support"
,,,2,600,6,75,
,,,3,700,6,75,
,,,4,800,6,75,
,,,5,900,6,75,
,,,6,1000,6,75,
,,,,,,,
Snare (Ultimate),Skill Type,Effect,Level,Cooldown,Mana,Recommend Item Type,
,Magic,Lock Enemy (Control),1,50,100,"Magic, Support",
,,,2,45,100,,
,,,3,40,100,,
