Martial Soul,Skill Type,Effect,Recommend Item Type,,,,,,
,Special,,,,,,,,
,,,,,,,,,
Spin Slash,Skill Type,Effect,level,Base Damage,Movement Speed,Penetrate,Cooldown,Mana,Recommend Item Type
,Physical,Increase Damage,1,200,15%,5%,8,25,Attack
,,,2,225,17%,6%,8,25,
,,,3,250,19%,7%,8,25,
,,,4,275,21%,8%,8,25,
,,,5,300,23%,9%,8,25,
,,,6,325,25%,10%,8,25,
,,,,,,,,,
Fearless Charge,Skill Type,Effect,level,Stab Damage,Shield,Cooldown,Mana,Recommend Item Type,
,Physical,Movement,1,275,400,8,25,Defense,
,,,2,320,480,8,25,,
,,,3,365,560,8,25,,
,,,4,410,640,8,25,,
,,,5,455,720,8,25,,
,,,6,500,800,8,25,,
,,,,,,,,,
Dire Blow,Skill Type,Effect,level,Cooldown,Base Damage,True Damage,Mana,Recommend Item Type,
,True Damage,Resistant,1,50,200,8%,80,Defense,
,,,2,45,250,10%,80,,
,,,3,40,300,12%,80,,
