Blood Drinker(Passive),Skill Type,Effect,Recommend Item Type,,,,,,
,Physical,Increase Damage,Attack,,,,,,
,,,,,,,,,
Ghostscythe,Skill Type,Effect,level,Base Damage,Cooldown,Mana,Recommend Item Type,,
,Physical,Movement,1,150,7,0,Movement,,
,,,2,200,6.8,0,,,
,,,3,250,6.6,0,,,
,,,4,300,6.4,0,,,
,,,5,350,6.2,0,,,
,,,6,400,6,0,,,
,,,,,,,,,
Boneshaver,Skill Type,Effect,level,Base Damage,Mana,Recommend Item Type,,,
,Physical ,Knock Up,1,200,0,Attack,,,
,,,2,260,0,,,,
,,,3,320,0,,,,
,,,4,380,0,,,,
,,,5,440,0,,,,
,,,6,500,0,,,,
,,,,,,,,,
Demon Claw,Skill Type,Effect,level,Base Damage,Final Damage,Defense Down,Cooldown,Mana,Recommend Item Type
,Physical,Not in target,1,40,300,12,50,0,Attack
,,,2,50,450,18,45,0,
,,,3,60,600,24,40,0,
