Shuffle,Skill Type,Effect,,,,,Recommend Item Type
,Physical,Movement Speed,,,,,Movement
,,,,,,,
,,,,,,,
Blossom,Skill Type,Effect,level,Cooldown,Base Damage,Mana,Recommend Item Type
,Physical,Stun,1,9,150,0,Attack
,,,2,8.6,180,0,
,,,3,8.2,210,0,
,,,4,7.8,240,0,
,,,5,7.4,270,0,
,,,6,7,300,0,
,,,,,,,
Triple Threat,Skill Type,Effect,level,Base Damage,Cooldown,Mana,Recommend Item Type
,Physical,Decrease Movement,1,150,2,0,Attack
,,,2,200,2,0,
,,,3,250,2,0,
,,,4,300,2,0,
,,,5,350,2,0,
,,,6,400,2,0,
,,,,,,,
Gentlemen's Duel,Skill Type,Effect,level,Cooldown,Defense Down,Mana,Recommend Item Type
,Resistance,Movement,1,40,10%,0,Defense
,,,2,35,15%,0,
,,,3,30,20%,0,
