Plunder(Passive),Skill Type,Effect,Recommend Type,,,,,
,True Damage,Heal,Attack,,,,,
,,,,,,,,
Cleave,Skill Type,Effect,level,Base Damage,Cooldown,Mana,Recommend Type,
,True Damage ,Heal,1,700,5,0,Attack,
,,,2,840,5,0,,
,,,3,980,5,0,,
,,,4,1120,5,0,,
,,,5,1260,5,0,,
,,,6,1400,5,0,,
,,,,,,,,
Souleater,Skill Type,Effect,level,Shield,Cooldown,Mana,Recommend Type,
,Physical,Defense,1,100,9,0,Defense,
,,,2,120,8.6,0,,
,,,3,140,8.2,0,,
,,,4,160,7.8,0,,
,,,5,180,7.4,0,,
,,,6,200,7,0,,
,,,,,,,,
Shock,Skill Type,Effect,level,Base Damage,Increase Shield and Magic Armor,Cooldown,Mana,Recommend Type
,Physical,Knock Up,1,700,150,50,0,Attack
,,,2,1050,225,45,0,
,,,3,1400,300,40,0,
