Flight Form(Passive),Skill Type,Effect,Recommend Item Type,,,,,
,Physical,Knock Back,Movement,,,,,
,,,,,,,,
Kryptonian Strength,Skill Type,Effect,level,Base Damage,Cooldown,Mana,Recommend Item Type,
,Physical,Decrease Movement Speed,1,175,10,0,Attack,
,,,2,350,9,0,,
,,,3,525,8,0,,
,,,4,700,7,0,,
,,,5,875,6,0,,
,,,6,1050,5,0,,
,,,,,,,,
The Man of Steel,Skill Type,Effect,level,Base Damage,Movement Speed,Cooldown,Mana,Recommend Item Type
,Cleansing,Movement Speed,1,335,30%,12,0,Attack
,,,2,470,34%,12,0,
,,,3,605,38%,12,0,
,,,4,740,42%,12,0,
,,,5,875,46%,12,0,
,,,6,1010,50%,12,0,
,,,,,,,,
Domation,Skill Type,Effect,level,Cooldown,Recommend Item Type,,,
,Special,"Cleansing, Movement Speed",1,60,Defense,,,
,,,2,55,,,,
,,,3,50,,,,
