Bloody Kiss(Passive),Skill Type,Effect,Recommend Item Type,,,,,,
,Physical,Heal,Attack,,,,,,
,,,,,,,,,
Bloody Fangs,Skill Type,Effect,level,Base Damage,Cooldown,Mana,Recommend Item Type,,
,Physical,Stun,1,150,6,0,Attack,,
,,,2,200,6,0,,,
,,,3,250,6,0,,,
,,,4,300,6,0,,,
,,,5,350,6,0,,,
,,,6,400,6,0,,,
,,,,,,,,,
Serpent's Embrace,Skill Type,Effect,level,Base Damage,Cooldown,Mana,Recommend Item Type,,
,Physical,Control,1,100,12,0,Attack,,
,,,2,130,11.4,0,,,
,,,3,160,10.8,0,,,
,,,4,190,10.2,0,,,
,,,5,220,9.6,0,,,
,,,6,250,9,0,,,
,,,,,,,,,
Venom,Skill Type,Effect,level,Base Damage,Cooldown,Physical Attack,Armor Piece,Mana,Recommend Item Type
,True Damage,Movement,1,300,24,100,15%,0,Attack
,,,2,450,21,150,20%,0,
,,,3,600,18,200,25%,0,
