Amazin Shield,Skill Type,Effect,Recommend Item Type,,,,,
,True Damage,Decrease Movement,"Attack, Defense",,,,,
,,,,,,,,
Sword & Shield,Skill Type,Effect,level,Base Damage,Absorb,Cooldown,Mana,Recommend Item Type
,Physical,Decrease Movement,1,100,10%,9,0,"Attack, Defense"
,,,2,160,12%,8.4,0,
,,,3,220,14%,7.8,0,
,,,4,280,16%,7.2,0,
,,,5,340,18%,6.6,0,
,,,6,400,20%,6,0,
,,,,,,,,
Lasso of Truth,Skill Type,Effect,level,Base Damage,Cooldown,Mana,Recommend Item Type,
,Physical,Control,1,250,10,0,"Attack, Support",
,,,2,300,9.5,0,,
,,,3,350,9,0,,
,,,4,400,8.5,0,,
,,,5,450,8,0,,
,,,6,500,7.5,0,,
,,,,,,,,
Bracelets of Submission,Skill Type,Effect,level,Base Damage,Armor,Cooldown,Mana,Recommend Item Type
,Physical,Resistant,1,400,600,50,0,Defense
,,,2,550,800,50,0,
,,,3,700,1000,50,0,
