Dragoon,Skill Type,Effect,Recommend Item Type,,,,,
,Damage,ล้างสถานะ,Defense,,,,,
,,,,,,,,
Blood Wyrm,Skill Type,Effect,level,Base Damage,Cooldown,Mana,Recommend Item Type,
,Physical,Movement Speed,1,250,8,60,Attack,
,,,2,280,7.6,60,,
,,,3,310,7.2,60,,
,,,4,340,6.8,60,,
,,,5,370,6.4,60,,
,,,6,400,6,60,,
,,,,,,,,
Roar,Skill Type,Effect,level,Base Damage,Cooldown,Lifesteal,Mana,Recommend Item Type
,Physical,Attack Speed,1,200,7,25%,70,Movement
,,,2,235,6.6,30%,70,
,,,3,270,6.2,35%,70,
,,,4,305,5.8,40%,70,
,,,5,340,5.4,45%,70,
,,,6,375,5,50%,70,
,,,,,,,,
Dragon's Warth,Skill Type,Effect,level,Base Damage,Cooldown,Mana,Recommend Item Type,
,True Damage,Stun,1,200,30,100,Attack,
,,,2,300,26,100,,
,,,3,400,22,100,,
