SkillID,HeroID,SkillName,SkillType,Effect,RecommendItemType
S001,H001,Dragon Blade,True Damage,Decrease Movement,Movement
S002,H001,Dragon Shuriken,Physical,Knockup,Attack
S003,H001,Swift Shadow,Movement,Special,Attack
S004,H001,Ryu no Ikari,Physical,Reduce Damage,Defense
S005,H002,,,,
S006,H002,,,,
S007,H002,,,,
S008,H002,,,,
S009,H003,,,,
S010,H003,,,,
S011,H003,,,,
S012,H003,,,,
S013,H004,,,,
S014,H004,,,,
S015,H004,,,,
S016,H004,,,,
S017,H005,,,,
S018,H005,,,,
S019,H005,,,,
S020,H005,,,,
S021,H006,,,,
S022,H006,,,,
S023,H006,,,,
S024,H006,,,,
S025,H007,,,,
S026,H007,,,,
S027,H007,,,,
S028,H007,,,,
S029,H008,,,,
S030,H008,,,,
S031,H008,,,,
S032,H008,,,,
S033,H009,,,,
S034,H009,,,,
S035,H009,,,,
S036,H009,,,,
S037,H010,,,,
S038,H010,,,,
S039,H010,,,,
S040,H010,,,,
S041,H011,,,,
S042,H011,,,,
S043,H011,,,,
S044,H011,,,,
S045,H012,,,,
S046,H012,,,,
S047,H012,,,,
S048,H012,,,,
S049,H013,,,,
S050,H013,,,,
S051,H013,,,,
S052,H013,,,,
S053,H014,,,,
S054,H014,,,,
S055,H014,,,,
S056,H014,,,,
S057,H015,,,,
S058,H015,,,,
S059,H015,,,,
S060,H015,,,,
S061,H016,,,,
S062,H016,,,,
S063,H016,,,,
S064,H016,,,,
S065,H017,,,,
S066,H017,,,,
S067,H017,,,,
S068,H017,,,,
S069,H018,,,,
S070,H018,,,,
S071,H018,,,,
S072,H018,,,,
S073,H019,,,,
S074,H019,,,,
S075,H019,,,,
S076,H019,,,,
S077,H020,,,,
S078,H020,,,,
S079,H020,,,,
S080,H020,,,,
S081,H021,,,,
S082,H021,,,,
S083,H021,,,,
S084,H021,,,,
S085,H022,,,,
S086,H022,,,,
S087,H022,,,,
S088,H022,,,,
S089,H023,,,,
S090,H023,,,,
S091,H023,,,,
S092,H023,,,,
S093,H024,,,,
S094,H024,,,,
S095,H024,,,,
S096,H024,,,,
S097,H025,,,,
S098,H025,,,,
S099,H025,,,,
S100,H025,,,,
S101,H026,,,,
S102,H026,,,,
S103,H026,,,,
S104,H026,,,,
S105,H027,,,,
S106,H027,,,,
S107,H027,,,,
S108,H027,,,,
S109,H028,,,,
S110,H028,,,,
S111,H028,,,,
S112,H028,,,,
S113,H029,,,,
S114,H029,,,,
S115,H029,,,,
S116,H029,,,,
S117,H030,,,,
S118,H030,,,,
S119,H030,,,,
S120,H030,,,,
S121,H031,,,,
S122,H031,,,,
S123,H031,,,,
S124,H031,,,,
S125,H032,,,,
S126,H032,,,,
S127,H032,,,,
S128,H032,,,,
S129,H033,,,,
S130,H033,,,,
S131,H033,,,,
S132,H033,,,,
S133,H034,,,,
S134,H034,,,,
S135,H034,,,,
S136,H034,,,,
S137,H035,,,,
S138,H035,,,,
S139,H035,,,,
S140,H035,,,,
S141,H036,,,,
S142,H036,,,,
S143,H036,,,,
S144,H036,,,,
S145,H037,,,,
S146,H037,,,,
S147,H037,,,,
S148,H037,,,,
S149,H038,,,,
S150,H038,,,,
S151,H038,,,,
S152,H038,,,,
S153,H039,,,,
S154,H039,,,,
S155,H039,,,,
S156,H039,,,,
S157,H040,,,,
S158,H040,,,,
S159,H040,,,,
S160,H040,,,,
S161,H041,,,,
S162,H041,,,,
S163,H041,,,,
S164,H041,,,,
S165,H042,,,,
S166,H042,,,,
S167,H042,,,,
S168,H042,,,,
S169,H043,,,,
S170,H043,,,,
S171,H043,,,,
S172,H043,,,,
S173,H044,,,,
S174,H044,,,,
S175,H044,,,,
S176,H044,,,,
S177,H045,,,,
S178,H045,,,,
S179,H045,,,,
S180,H045,,,,
S181,H046,,,,
S182,H046,,,,
S183,H046,,,,
S184,H046,,,,
S185,H047,,,,
S186,H047,,,,
S187,H047,,,,
S188,H047,,,,
S189,H048,,,,
S190,H048,,,,
S191,H048,,,,
S192,H048,,,,
S193,H049,,,,
S194,H049,,,,
S195,H049,,,,
S196,H049,,,,
S197,H050,,,,
S198,H050,,,,
S199,H050,,,,
S200,H050,,,,
S201,H051,,,,
