SkillID,HeroID,SkillName,SkillType,Effect,RecommendItemType
S001,H001,"Borrowed Might	",Passive,"Gains a mark next skill usage is upgraded, and cooldowns are reset",Magic
S002,H001,"Aqua Force	",Magic,Deals magic damage in a curved pattern,Magic
S003,H001,"Mountain Crusher	",Magic,Deals magic damage in a curved pattern,Magic
S004,H001,"Rising Wind	",Magic,Knocks back enemies in front while retreating,Magic
S005,H002,"Squirrel Spirit	",Transform,"Becomes untargetable when HP is low	","Defense, Support"
S006,H002,"Sound Breaker	",Magic,"Deals magic damage and slows enemies	",Magic
S007,H002,"Idol Love	",Magic,"Jumps onto an ally and grants a shield	",Defense
S008,H002,"Forest Song	",Magic,"Turns enemies into animals	",Magic
S009,H003,Spellbound,True Damage,"Gains a sigil upon attacking heroes/monsters. At 4 sigils, enters Purge state, converting damage to true damage and gaining a shield.",Attack
S010,H003,"Moon Pierce	",Physical,"Slashes forward, dealing damage and slowing enemies.","Attack, Movement"
S011,H003,Browbeat,Physical,"Dashes to a target location, dealing area damage.",Attack
S012,H003,"Cliff Breaker	",Physical,"Jumps into the air, slamming down and reducing enemy movement speed.","Attack, Defense"
S013,H004,"Revelation of Light	",Passive,"Basic attacks apply Revelation of Light, increasing attack speed and damage.	",Attack
S014,H004,"Light Flash - Second Degree	",Physical,"Shoots light dealing physical damage, stuns if hit twice.	",Attack
S015,H004,"Sacred Light Verdict	",Physical,"Charges forward, deals physical damage, heals HP, reduces cooldown on kills.	",Attack
S016,H004,"The Holy Soul Returns	","Transformation	","Transforms, becomes untargetable for 3 sec, deals true damage.	","Defense, Attack"
S017,H005,Eternal ,Magic,Creates a burst of AoE damage,Magic
S018,H005,"Here's What I Think	",Magic,"Moves the orb, dealing damage when passing through enemies	",Magic
S019,H005,"Darkness Falls	",Magic,"Deals AoE damage to nearby enemies	",Magic
S020,H005,"Starry Night	",Magic,"Orb explodes, dealing AoE damage and knocking up enemies	",Magic
S021,H006,Gaze ,Magic,Regenerates energy over time and gains extra energy upon using abilities.,Magic
S022,H006,Explosive Fireball,Magic,Shoots a fireball that explodes and deals AoE magic damage.,Magic
S023,H006,Fire Shadow,Magic,"Enters Shadow Flame mode, gaining speed and shooting enhanced fireballs.",Magic
S024,H006,Eye of Ember,Magic,Channels power and shoots a targeted explosion dealing AoE magic damage.,Magic
S025,H007,"Howling Sword	",Hybrid Damage,"Gains stacks, increases armor penetration, and heals	","Attack, Lifesteal"
S026,H007,"Meteor Strike	",Hybrid Damage,"Deals mixed damage and lifts enemies	","Attack, Defense"
S027,H007,Moonflash,Physical ,"Dashes forward, dealing damage and becoming invulnerable	","Attack, Movement"
S028,H007,"Death at Sunset	",True Damage,"Disappears, locks target, and deals true damage	",Attack
S029,H008,Dragon Blessing,Physical,"Gains Dragon Marks when using skills, enhancing damage and attack speed.	","Attack, Jungle"
S030,H008,"Dragon Slash	",Physical,"Dashes to a target location, dealing AoE damage and healing when hitting enemies.	",Attack
S031,H008,"Dragon Claw	",Physical,"Throws a claw to a target location, allowing Aoi to dash again, knocking up enemies.	",Attack
S032,H008,"Dragon Chant	",Physical,"Performs a powerful ground slam, dealing AoE damage while being immune to CC.	",Attack
S033,H009,Blood Bramble,Physical,Gains Blood Bramble stacks from kills.,"Attack,Movement"
S034,H009,"Blood Hide	",Physical,Dashes to a target location and enters stealth mode.,Attack
S035,H009,"Blood Ghost	",Physical,Deals AoE damage or heals upon recall.,Attack
S036,H009,"Blood Samsara	",Physical,Shares HP with a target.Gains movement speed,Attack
S037,H010,Blood Curse,Physical,Attack Power Steal,"Attack, Defense"
S038,H010,Saw Storm,Physical,Movement Speed,"Attack, Movement"
S039,H010,Saw Cut,Physical,HP Recovery,Attack
S040,H010,Demon's Gift,Heal,Converts Damage into Healing,Attack
S041,H011,Ready ,Physical,Converts cooldown reduction effects into extra physical power,Attack
S042,H011,"Magic Bullet	",Physical,Selects 3 bullets to enhance attacks,Attack
S043,H011,Excite,Mobility,Dashes and enhances basic attack,Movement
S044,H011,"Mass Annihilation	",Physical,AoE damage,Attack
S045,H012,"Dark Tides	",Passive,"Grants magic lifesteal and physical bonus damage.	",Magic
S046,H012,"Umbra Dream	",Magic,"Creates magic damage, slows enemies , locks targets.	",Magic
S047,H012,"Triangle Maze	",Magic,"Summons two clones dealing magic damage, creates triangular zone with stun.	",Magic
S048,H012,"Fading Phantom	",Magic,"Increases movement speed , allows phasing through obstacles","Movement, Magic"
S049,H013,Arcane Body,Magic,"Uses mana to prevent lethal damage when HP runs out.	",Magic
S050,H013,Astrolobe,Magic,"Releases energy that damages enemies in a line.	",Magic
S051,H013,"Fallen Star	",Magic,"Creates an energy zone that knocks enemies back.	",Magic
S052,H013,"Genesis Blast	",Magic,"Unleashes a powerful energy beam in a straight line.	",Magic
S053,H014,Child of the Sea ,Physical,Stores lost HP and heals.,Defense
S054,H014,Wavewalking,Physical,Knock Up,"Defense, Movement"
S055,H014,Sea Anchor,Physical,Movement,Defense
S056,H014,Ghost Ship,Physical,Summons ship dealing AoE damage.,Defense
S057,H015,Floating Light,"Speed Boost	","Increases the movement speed of the farthest ally.	","Support, Movement Speed"
S058,H015,Holy Wings,Magic,"Shoots wings at enemies, knocking them back and increasing ally movement speed.	","Magic, Defense"
S059,H015,Void Portal,Heal,"Opens a portal that teleports allies back to base and heals them.	",Magic
S060,H015,Sacred Ground,Magic,"Opens a portal that allows allies to warp to a chosen location.	",Magic
S061,H016,"Sneak Attack	",Magic,Slow,"Magic, Support"
S062,H016,"In Plain Sight	",Magic,"Gains stealth and bonus speed	",Movement
S063,H016,"Gravitational Pull	",Magic,"Pulls enemies and grants shield to allies	",Magic
S064,H016,"Concealment	",Stealth,"Grants allies invisibility and reveals enemies	",Magic
S065,H017,Bloodlust,Physical,Heal,Defense
S066,H017,Rend,Physical,Slow,Attack
S067,H017,Undying Protector,Magic,Defense,Defense
S068,H017,Cull,Physical,Stun,Attack
S069,H018,Amazin Shield,True Damage,Decrease Movement,"Attack, Defense"
S070,H018,Sword & Shield,Physical,Decrease Movement,"Attack, Defense"
S071,H018,Lasso of Truth,Physical,Control,Attack
S072,H018,Bracelets of Submission,Physical,Resistant,Defense
S073,H019,"Drain Charge	",Physical,Attack and movement speed,Attack
S074,H019,"Death Bloom	",Physical,Ranged physical damage,Attack
S075,H019,"Eyes of Zealot	",Special,Speed boost,Movement
S076,H019,"Fatal Gift	",Physical,Stun,Attack
S077,H020,"Holy Brand	",Magic,"Empowers next attack to deal bonus damage	",Defense
S078,H020,"Divine Protection	",Magic,"Creates a shield that explodes for damage	","Defense, Support"
S079,H020,Malleus,Magic,"Leaps to an area, dealing damage and knocking up enemies	","Defense, Movement"
S080,H020,"Angelic Splendor	",Magic,"Teleports to ally, healing and dealing damage	",Defense
S081,H021,Sacred Flame,Magic,Increasing attack speed and movement speed,"Magic, Movement"
S082,H021,Fire Crash,Magic,Deals magic damage and grants a shield,Magic
S083,H021,Rain of Fire,Magic,Reduces enemy movement speed,Magic
S084,H021,Holy Ember,Magic,Deals wide-area magic damage,Magic
S085,H022,"Powerful Hymns	",Magic,Basic attacks pierce armor and deal additional magic damage,Magic
S086,H022,"Soul Summoning	",Magic,Summons a spirit to deal magic damage and reduce enemy movement speed,Magic
S087,H022,"Incorporeal	",Magic,Creates a shield that absorbs damage and increases movement speed,Magic
S088,H022,"Ethereal Pulse	",Magic,Continuously unleashes magic attacks ,Magic
S089,H023,Fighting Spirit,Bonus Damage,Damage scales with missing HP,Defense
S090,H023,"Colossal Smash	",Physical,"Leaps to a target location, dealing damage and reducing enemy movement speed.	","Defense, Movement "
S091,H023,"Whirlwind - Potential	",Physical,"Spins in place, dealing damage twice to nearby enemies.	",Defense
