"HeroID","Level","Phys_ATK","HP","Phys_Defense","Attack_Speed","Critical_Rate","HP_5_sec","Armor_Pierce","Life_Steal","Magic_Power","Max_Mana","Magic_Defense","Cooldown_Reduction","Movement_Speed","Mana_5_sec","Magic_Pierce","Magic_Life_Steal","Resistance"
H001,1,169.0,3475,140.0,0.0,0.0,45,18.0,0.0,15.0,490,50.0,0.0,360.0,18,18.0,0.0,0.0
H001,2,178.0,3742,158.0,0.01,0.0,46,21.0,0.0,18.0,597,63.0,0.0,360.0,19,21.0,0.0,0.0
H001,3,188.0,4009,177.0,0.02,0.0,48,24.0,0.0,21.0,704,77.0,0.0,360.0,21,24.0,0.0,0.0
H001,4,198.0,4276,196.0,0.03,0.0,50,27.0,0.0,24.0,811,90.0,0.0,360.0,23,27.0,0.0,0.0
H001,5,208.0,4543,215.0,0.04,0.0,52,30.0,0.0,27.0,918,104.0,0.0,360.0,25,30.0,0.0,0.0
H001,6,218.0,4810,234.0,0.05,0.0,54,33.0,0.0,30.0,1025,117.0,0.0,360.0,27,33.0,0.0,0.0
H001,7,228.0,5077,253.0,0.06,0.0,56,36.0,0.0,33.0,1132,130.0,0.0,360.0,29,36.0,0.0,0.0
H001,8,238.0,5344,272.0,0.07,0.0,58,39.0,0.0,36.0,1239,144.0,0.0,360.0,31,39.0,0.0,0.0
H001,9,247.0,5611,290.0,0.08,0.0,59,42.0,0.0,39.0,1346,157.0,0.0,360.0,32,42.0,0.0,0.0
H001,10,257.0,5878,309.0,0.09,0.0,61,45.0,0.0,42.0,1453,171.0,0.0,360.0,34,45.0,0.0,0.0
H001,11,267.0,6145,328.0,0.1,0.0,63,48.0,0.0,45.0,1560,184.0,0.0,360.0,36,48.0,0.0,0.0
H001,12,277.0,6412,347.0,0.11,0.0,65,51.0,0.0,48.0,1667,198.0,0.0,360.0,38,51.0,0.0,0.0
H001,13,287.0,6679,366.0,0.12,0.0,67,54.0,0.0,51.0,1774,211.0,0.0,360.0,40,54.0,0.0,0.0
H001,14,296.0,6946,384.0,0.13,0.0,68,57.0,0.0,54.0,1881,225.0,0.0,360.0,41,57.0,0.0,0.0
H001,15,306.0,7213,403.0,0.14,0.0,70,60.0,0.0,57.0,1988,238.0,0.0,360.0,43,60.0,0.0,0.0
H002,1,170.0,3558,130.0,0.0,0.0,55,0.0,0.0,15.0,470,80.0,0.0,360.0,17,0.0,0.0,0.0
H002,2,180.0,3813,150.0,0.01,0.0,57,0.0,0.0,18.0,574,93.0,0.0,360.0,18,0.0,0.0,0.0
H002,3,191.0,4069,170.0,0.02,0.0,60,0.0,0.0,21.0,678,107.0,0.0,360.0,20,0.0,0.0,0.0
H002,4,202.0,4325,190.0,0.03,0.0,63,0.0,0.0,24.0,782,120.0,0.0,360.0,22,0.0,0.0,0.0
H002,5,213.0,4581,210.0,0.04,0.0,66,0.0,0.0,27.0,886,134.0,0.0,360.0,24,0.0,0.0,0.0
H002,6,224.0,4837,230.0,0.05,0.0,69,0.0,0.0,30.0,990,147.0,0.0,360.0,26,0.0,0.0,0.0
H002,7,235.0,5093,250.0,0.06,0.0,72,0.0,0.0,33.0,1094,160.0,0.0,360.0,28,0.0,0.0,0.0
H002,8,246.0,5349,270.0,0.07,0.0,75,0.0,0.0,36.0,1198,174.0,0.0,360.0,30,0.0,0.0,0.0
H002,9,256.0,5604,290.0,0.08,0.0,77,0.0,0.0,39.0,1302,187.0,0.0,360.0,31,0.0,0.0,0.0
H002,10,267.0,5860,310.0,0.09,0.0,80,0.0,0.0,42.0,1406,201.0,0.0,360.0,33,0.0,0.0,0.0
H002,11,278.0,6116,330.0,0.1,0.0,83,0.0,0.0,45.0,1510,214.0,0.0,360.0,35,0.0,0.0,0.0
H002,12,289.0,6372,350.0,0.11,0.0,86,0.0,0.0,48.0,1614,228.0,0.0,360.0,37,0.0,0.0,0.0
H002,13,300.0,6628,370.0,0.12,0.0,89,0.0,0.0,51.0,1718,241.0,0.0,360.0,39,0.0,0.0,0.0
H002,14,310.0,6883,390.0,0.13,0.0,91,0.0,0.0,54.0,1822,255.0,0.0,360.0,40,0.0,0.0,0.0
H002,15,321.0,7139,410.0,0.14,0.0,94,0.0,0.0,57.0,1926,268.0,0.0,360.0,42,0.0,0.0,0.0
H003,1,,,,,,,,,,,,,,,,,
H003,2,,,,,,,,,,,,,,,,,
H003,3,,,,,,,,,,,,,,,,,
H003,4,,,,,,,,,,,,,,,,,
H003,5,,,,,,,,,,,,,,,,,
H003,6,,,,,,,,,,,,,,,,,
H003,7,,,,,,,,,,,,,,,,,
H003,8,,,,,,,,,,,,,,,,,
H003,9,,,,,,,,,,,,,,,,,
H003,10,,,,,,,,,,,,,,,,,
H003,11,,,,,,,,,,,,,,,,,
H003,12,,,,,,,,,,,,,,,,,
H003,13,,,,,,,,,,,,,,,,,
H003,14,,,,,,,,,,,,,,,,,
H003,15,,,,,,,,,,,,,,,,,
H004,1,196.0,3585,134.0,0.0,0.0,50,0.0,0.0,27.0,440,80.0,0.0,370.0,15,0.0,0.0,0.0
H004,2,213.0,3863,157.0,0.03,0.0,51,0.0,0.0,30.0,535,93.0,0.0,370.0,16,0.0,0.0,0.0
H004,3,231.0,4142,181.0,0.06,0.0,53,0.0,0.0,33.0,630,107.0,0.0,370.0,18,0.0,0.0,0.0
H004,4,248.0,4421,204.0,0.09,0.0,55,0.0,0.0,36.0,725,120.0,0.0,370.0,19,0.0,0.0,0.0
H004,5,266.0,4700,228.0,0.12,0.0,57,0.0,0.0,39.0,820,134.0,0.0,370.0,21,0.0,0.0,0.0
H004,6,284.0,4979,252.0,0.15,0.0,59,0.0,0.0,42.0,915,147.0,0.0,370.0,22,0.0,0.0,0.0
H004,7,301.0,5258,275.0,0.18,0.0,61,0.0,0.0,45.0,1010,160.0,0.0,370.0,23,0.0,0.0,0.0
H004,8,319.0,5537,299.0,0.21,0.0,63,0.0,0.0,48.0,1105,174.0,0.0,370.0,25,0.0,0.0,0.0
H004,9,336.0,5815,322.0,0.24,0.0,64,0.0,0.0,51.0,1200,187.0,0.0,370.0,26,0.0,0.0,0.0
H004,10,354.0,6094,346.0,0.27,0.0,66,0.0,0.0,54.0,1295,201.0,0.0,370.0,28,0.0,0.0,0.0
H004,11,371.0,6373,369.0,0.3,0.0,68,0.0,0.0,57.0,1390,214.0,0.0,370.0,29,0.0,0.0,0.0
H004,12,389.0,6652,393.0,0.33,0.0,70,0.0,0.0,60.0,1485,228.0,0.0,370.0,31,0.0,0.0,0.0
H004,13,406.0,6931,416.0,0.36,0.0,72,0.0,0.0,63.0,1580,241.0,0.0,370.0,32,0.0,0.0,0.0
H004,14,424.0,7209,440.0,0.39,0.0,73,0.0,0.0,66.0,1675,255.0,0.0,370.0,34,0.0,0.0,0.0
H004,15,441.0,7488,463.0,0.42,0.0,75,0.0,0.0,69.0,1770,268.0,0.0,370.0,35,0.0,0.0,0.0
H005,1,,,,,,,,,,,,,,,,,
H005,2,,,,,,,,,,,,,,,,,
H005,3,,,,,,,,,,,,,,,,,
H005,4,,,,,,,,,,,,,,,,,
H005,5,,,,,,,,,,,,,,,,,
H005,6,,,,,,,,,,,,,,,,,
H005,7,,,,,,,,,,,,,,,,,
H005,8,,,,,,,,,,,,,,,,,
H005,9,,,,,,,,,,,,,,,,,
H005,10,,,,,,,,,,,,,,,,,
H005,11,,,,,,,,,,,,,,,,,
H005,12,,,,,,,,,,,,,,,,,
H005,13,,,,,,,,,,,,,,,,,
H005,14,,,,,,,,,,,,,,,,,
H005,15,,,,,,,,,,,,,,,,,
H006,1,177.0,3475,137.0,0.0,0.0,46,18.0,0.0,0.0,0,80.0,0.0,350.0,0,18.0,0.0,0.0
H006,2,189.0,3707,155.0,0.01,0.0,48,21.0,0.0,0.0,0,93.0,0.0,350.0,0,21.0,0.0,0.0
H006,3,202.0,3940,173.0,0.02,0.0,50,24.0,0.0,0.0,0,107.0,0.0,350.0,0,24.0,0.0,0.0
H006,4,215.0,4172,191.0,0.03,0.0,52,27.0,0.0,0.0,0,120.0,0.0,350.0,0,27.0,0.0,0.0
H006,5,228.0,4405,209.0,0.04,0.0,54,30.0,0.0,0.0,0,134.0,0.0,350.0,0,30.0,0.0,0.0
H006,6,241.0,4638,227.0,0.05,0.0,56,33.0,0.0,0.0,0,147.0,0.0,350.0,0,33.0,0.0,0.0
H006,7,254.0,4870,245.0,0.06,0.0,58,36.0,0.0,0.0,0,160.0,0.0,350.0,0,36.0,0.0,0.0
H006,8,267.0,5103,263.0,0.07,0.0,60,39.0,0.0,0.0,0,174.0,0.0,350.0,0,39.0,0.0,0.0
H006,9,279.0,5335,281.0,0.08,0.0,62,42.0,0.0,0.0,0,187.0,0.0,350.0,0,42.0,0.0,0.0
